1,0.63,0.66,0.69,0.72,0.75,0.78,0.81,0.84,0.87,0.9,Mean,6,0.63,0.66,0.69,0.72,0.75,0.78,0.81,0.84,0.87,0.9,Mean,,LogLoss without,
1,0.55607356,0.55609483,0.556114874,0.556133754,0.55615154,0.556168301,0.556184103,0.556199012,0.556213089,0.556226392,0.556628319,1,0.555164185,0.555162747,0.555161924,0.555161596,0.555161665,0.555162052,0.555162693,0.555163535,0.555164537,0.555165664,0.555644935,,0.5561153,
2,0.556156603,0.556183816,0.556208145,0.556229686,0.556248571,0.556264962,0.556279038,0.556290985,0.55630099,0.556309237,Min,2,0.554816955,0.554827892,0.554841861,0.554858375,0.554876995,0.554897332,0.554919043,0.554941823,0.554965409,0.554989572,Min,,,
3,0.556170701,0.556201944,0.556230114,0.556255189,0.556277207,0.556296262,0.556312486,0.556326049,0.556337144,0.556345982,0.55607356,3,0.554911109,0.554937412,0.554967252,0.554999927,0.555034786,0.555071242,0.555108766,0.555146896,0.555185228,0.55522342,0.554816955,,,
4,0.55627785,0.556312392,0.556341516,0.556365214,0.556383664,0.556397199,0.556406261,0.556411359,0.556413034,0.556411824,,4,0.554882311,0.554911701,0.55494556,0.554983033,0.555023287,0.555065529,0.555109022,0.555153101,0.55519718,0.55524076,,,,
5,0.556711246,0.556803046,0.556884957,0.556954739,0.557010754,0.557052075,0.557078492,0.55709046,0.557088977,0.557075434,,5,0.555262099,0.555355367,0.555457071,0.555565447,0.555678595,0.555794536,0.555911281,0.556026904,0.556139608,0.556247792,,,,
6,0.556884189,0.556994957,0.557089187,0.557162546,0.557211966,0.557235956,0.557234666,0.557209721,0.557163885,0.557100641,,6,0.555458449,0.555591841,0.555736421,0.555889196,0.556046699,0.556205105,0.556360403,0.55650861,0.556646002,0.556769343,,,minimal value,minimal block value
7,0.556808263,0.556895783,0.556962845,0.557005627,0.557022058,0.557012103,0.556977712,0.556922452,0.556850936,0.556768192,,7,0.555440319,0.555568561,0.555706798,0.555851742,0.555999563,0.556146035,0.556286753,0.556417429,0.556534219,0.556634033,,,0.554614197,0.555632029
8,0.556779258,0.556850811,0.556896309,0.556911504,0.556894506,0.556846165,0.556769971,0.556671497,0.556557529,0.556435135,,8,0.55543071,0.555553553,0.555683894,0.555817635,0.555950062,0.556076068,0.55619052,0.556288708,0.556366855,0.556422548,,,Block,Block
9,0.556761174,0.556826208,0.55686399,0.556870616,0.556844869,0.556788654,0.556706848,0.556606576,0.556496119,0.556383712,,9,0.555471452,0.555610556,0.555761714,0.555921329,0.556084912,0.556247169,0.556402233,0.556544068,0.556667009,0.556766395,,,7,7
