"playername","playername2","Sackmann_playername","Sackmann_id"
"Boeker M.","boeker m","Matias Boeker","103663"
"Bogaerts R.","bogaerts r","Romain Bogaerts","122279"
"Bogdanovic A.","bogdanovic a","Alex Bogdanovic","104372"
"Bogomolov A.","bogomolov a","Alex Bogomolov Jr","104166"
"Bogomolov Jr. A.","bogomolov jr a","Alex Bogomolov Jr","104166"
"Bogomolov Jr.A.","bogomolov jr a","Alex Bogomolov Jr","104166"
"Bohaboy D.","bohaboy d","Doug Bohaboy","102865"
"Bohane A.","bohane a","Adrian Bohane","103847"
"Bohli S.","bohli s","Stephane Bohli","104219"
"Bohli S. ","bohli s","Stephane Bohli","104219"
"Bolelli S.","bolelli s","Simone Bolelli","104620"
"Bolelli S. ","bolelli s","Simone Bolelli","104620"
"Bolt A.","bolt a","Alex Bolt","106109"
"Bopanna R.","bopanna r","Rohan Bopanna","103523"
"Boruszewski J.","boruszewski j","Jan Boruszewski","103061"
"Borvanov R.","borvanov r","Roman Borvanov","103969"
"Bossel A.","bossel a","Adrien Bossel","104847"
"Bourgeois L.","bourgeois l","Luke Bourgeois","102945"
"Bourgue M.","bourgue m","Mathias Bourgue","106288"
"Boutter J.","boutter j","Julien Boutter","102369"
"Bower J.","bower j","Justin Bower","103198"
"Bowles C.","bowles c","Clint Bowles","108997"
"Bozic I.","bozic i","Iztok Bozic","101970"
"Bozoljac I.","bozoljac i","Ilija Bozoljac","104592"
"Braasch K.","braasch k","Karsten Braasch","101373"
"Bracciali D.","bracciali d","Daniele Bracciali","103110"
"Braga P.","braga p","Pedro Braga","102545"
"Brands D.","brands d","Daniel Brands","104978"
"Brasington J.","brasington j","Jack Brasington","102855"
"Breen M.","breen m","Matthew Breen","102805"
"Britton D.","britton d","Devin Britton","105730"
"Brizzi A.","brizzi a","Alberto Brizzi","104334"
"Broady L.","broady l","Liam Broady","106281"
"Brown D.","brown d","Dustin Brown","104460"
"Browne F.","browne f","Federico Browne","102768"
"Bruguera S.","bruguera s","Sergi Bruguera","101843"
"Brugues-Davi A.","brugues davi a","Arnau Brugues Davi","104516"
"Bryan B.","bryan b","Bob Bryan","103184"
"Bryan M.","bryan m","Mike Bryan","103185"
"Brzezicki J.P.","brzezicki j p","Juan Pablo Brzezicki","103976"
"Bubka S.","bubka s","Sergei Bubka","104869"
"Bublik A.","bublik a","Alexander Bublik","122330"
"Buchanan C.","buchanan c","Chase Buchanan","105783"
"Burgsmuller L.","burgsmuller l","Lars Burgsmuller","102694"
"Burniol G.","burniol g","Guillem Burniol","104228"
"Burquier G.","burquier g","Gregoire Burquier","104393"
"Burrieza O.","burrieza o","Oscar Burrieza","102629"
"Cabal J.S.","cabal j s","Juan Sebastian Cabal","108701"
"Cabello F.","cabello f","Francisco Cabello","102145"
"Cachin P.","cachin p","Pedro Cachin","106398"
"Cacic N.","cacic n","Nikola Cacic","105677"
"Cadart R.","cadart r","Rodolphe Cadart","103250"
"Cakl T.","cakl t","Tomas Cakl","103761"
"Calatrava A.","calatrava a","Alex Calatrava","102231"
"Caldwell D.","caldwell d","David Caldwell","102410"
"Calleri A.","calleri a","Agustin Calleri","102860"
"Canas G.","canas g","Guillermo Canas","103084"
"Capalik K.","capalik k","Kristian Capalik","103270"
"Capdeville P.","capdeville p","Paul Capdeville","104154"
"Caratti C.","caratti c","Cristiano Caratti","101750"
"Carballes Baena R.","carballes baena r","Roberto Carballes Baena","106148"
"Carlsen K.","carlsen k","Kenneth Carlsen","102202"
"Carlson A.","carlson a","Andrew Carlson","103037"
"Carraz G.","carraz g","Gregory Carraz","102571"
"Carreno-Busta P.","carreno busta p","Pablo Carreno Busta","105807"
"Carreno Busta P.","carreno busta p","Pablo Carreno Busta","105807"
"Carretero R.","carretero r","Roberto Carretero","102650"
"Caruso S.","caruso s","Salvatore Caruso","106099"
"Cecchinato M.","cecchinato m","Marco Cecchinato","106065"
"Cermak F.","cermak f","Frantisek Cermak","102886"
"Cervantes I.","cervantes i","Inigo Cervantes Huegun","105438"
"Cervenak P.","cervenak p","Pavol Cervenak","104965"
"Chadaj A.","chadaj a","Adam Chadaj","104360"
"Chaen T.","chaen t","Tetsuya Chaen","102282"
"Chaki R.","chaki r","Rabie Chaki","103978"
"Chang M.","chang m","Michael Chang","102021"
"Chardy J.","chardy j","Jeremy Chardy","104871"
"Chardy J. ","chardy j","Jeremy Chardy","104871"
"Charpentier M.","charpentier m","Marcelo Charpentier","102243"
"Chela J.","chela j","Juan Ignacio Chela","103428"
"Chela J.I.","chela j","Juan Ignacio Chela","103428"
"Chen T.","chen t","Ti Chen","104251"
"Cherkasov A.","cherkasov a","Andrei Cherkasov","101772"
"Childs L.","childs l","Lee Childs","104014"
"Chiudinelli M.","chiudinelli m","Marco Chiudinelli","103843"
"Chiudinelli M. ","chiudinelli m","Marco Chiudinelli","103843"
"Choinski J.","choinski j","Jan Choinski","123828"
"Chung H.","chung h","Hyeon Chung","111202"
"Chvojka E.","chvojka e","Erik Chvojka","104820"
"Cilic M.","cilic m","Marin Cilic","105227"
"Cilic M. ","cilic m","Marin Cilic","105227"
"Ciorcila P.","ciorcila p","Patrick Ciorcila","106430"
"Cipolla F.","cipolla f","Flavio Cipolla","104262"
"Clavet F.","clavet f","Francisco Clavet","101532"
"Clayton A.","clayton a","Alex Clayton","105048"
"Clemens T.","clemens t","Tobias Clemens","103424"
"Clement A.","clement a","Arnaud Clement","103096"
"Clezar G.","clezar g","Guilherme Clezar","106105"
"Cobolli S.","cobolli s","Stefano Cobolli","102944"
"Coetzee J.","coetzee j","Jeff Coetzee","102979"
"Condor F.","condor f","Frank Condor","104284"
"Cook L.","cook l","Lester Cook","104355"
"Copil M.","copil m","Marius Copil","105657"
"Coppejans K.","coppejans k","Kimmer Coppejans","106293"
"Coria G.","coria g","Guillermo Coria","103909"
"Coric B.","coric b","Borna Coric","106432"
"Corretja A.","corretja a","Alex Corretja","102374"
"Corrie E.","corrie e","Edward Corrie","105100"
"Cortes J.","cortes j","Jaime Cortes","101167"
"Costa A.","costa a","Albert Costa","102610"
"Costa F.","costa f","Francisco Costa","102239"
"Courier J.","courier j","Jim Courier","101793"
"Coutelot N.","coutelot n","Nicolas Coutelot","102934"
"Couto E.","couto e","Emanuel Couto","102250"
"Cowan B.","cowan b","Barry Cowan","102443"
"Cox D.","cox d","Daniel Cox","105638"
"Crabb J.","crabb j","Jaymon Crabb","103154"
"Craca M.","craca m","Marcello Craca","102472"
"Crivoi V.","crivoi v","Victor Crivoi","104003"
"Cruciat A.","cruciat a","Adrian Cruciat","104149"
"Crugnola M.","crugnola m","Marco Crugnola","104192"
"Cuadrado C.","cuadrado c","Carlos Cuadrado","104196"
"Cuevas P.","cuevas p","Pablo Cuevas","104655"
"Cuevas P. ","cuevas p","Pablo Cuevas","104655"
"Dabrowski B.","dabrowski b","Bartlomiej Dabrowski","102100"
"Dabul B.","dabul b","Brian Dabul","104314"
