"ï..ATP","Location","Tournament","Date","Series","Court","Surface","Round","Best.of","Winner","Loser","WRank","LRank","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","Comment","CBW","CBL","GBW","GBL","IWW","IWL","SBW","SBL","B365W","B365L","B.WW","B.WL","EXW","EXL","PSW","PSL"
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","Quarterfinals","3","Norman M.","Martin A.","15","55","6","4","6","3","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","Semifinals","3","Enqvist T.","Norman M.","5","15","3","6","6","2","6","2","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","Semifinals","3","Hewitt L.","Escude N.","24","40","3","6","6","1","6","4","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","The Final","3","Hewitt L.","Enqvist T.","24","5","3","6","6","3","6","2","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Chennai","Gold Flake Open","1/3/2000","International","Outdoor","Hard","1st Round","3","Agenor R.","Kumar S.","94","1198","6","4","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Chennai","Gold Flake Open","1/3/2000","International","Outdoor","Hard","1st Round","3","Behrend T.","Popp A.","116","124","6","4","4","6","6","1","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Chennai","Gold Flake Open","1/3/2000","International","Outdoor","Hard","1st Round","3","Damm M.","Rochus C.","104","120","6","3","6","0","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Chennai","Gold Flake Open","1/3/2000","International","Outdoor","Hard","1st Round","3","Delgado J.","Black B.","162","67","6","2","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Chennai","Gold Flake Open","1/3/2000","International","Outdoor","Hard","1st Round","3","Golmard J.","Spottl M.","38","200","6","3","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Chennai","Gold Flake Open","1/3/2000","International","Outdoor","Hard","1st Round","3","Hantschk M.","Tieleman L.","128","89","7","6","6","3","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
