"Players","Ratings","games","Hard_Ratings","Hard_games","Grass_Ratings","Grass_games","Clay_Ratings","Clay_games","Carpet_Ratings","Carpet_games","Nationality","Handed"
"Novak D.",1488.67807226239,1,1500,0,1500,0,1489.36145288592,1,1500,0,"AUT","R"
"Herbert P.H",1500,0,1500,0,1500,0,1500,0,1500,0,"FRA","R"
"Tiafoe F.",1488.84057866636,1,1489.77610320031,1,1500,0,1500,0,1500,0,"USA","R"
"Zhang Zh.",1500,0,1500,0,1500,0,1500,0,1500,0,"CHN","U"
"Zhang Ze",1500,0,1500,0,1500,0,1500,0,1500,0,"CHN","U"
"Karatsev A.",1478.1939805386,3,1476.06388843779,3,1500,0,1500,0,1500,0,"RUS","R"
"Fabbiano T.",1485.72800084742,3,1491.06200926615,2,1500,0,1487.59769703675,1,1500,0,"ITA","R"
"Barton M.",1500,0,1500,0,1500,0,1500,0,1500,0,"ITA","U"
"Thompson J.",1494.25102340106,1,1491.98099872688,1,1500,0,1500,0,1500,0,"GBR","U"
"Rubin N.",1480.23593092111,2,1477.23595492319,2,1500,0,1500,0,1500,0,"VEN","U"
"Halys Q.",1500,0,1500,0,1500,0,1500,0,1500,0,"FRA","R"
"Jasika O.",1488.07453424811,1,1486.68134383863,1,1500,0,1500,0,1500,0,"AUS","L"
"Monteiro T.",1500,0,1500,0,1500,0,1500,0,1500,0,"BRA","L"
"Fratangelo B.",1500,0,1500,0,1500,0,1500,0,1500,0,"USA","R"
"Kovalik J.",1500,0,1500,0,1500,0,1500,0,1500,0,"SVK","R"
"Paul T.",1500,0,1500,0,1500,0,1500,0,1500,0,"USA","R"
"Carreno Busta P.",1500,0,1500,0,1500,0,1500,0,1500,0,"ESP","R"
"Bautista Agut R.",1500,0,1500,0,1500,0,1500,0,1500,0,"ESP","R"
"Cecchinato M.",1473.67649722568,4,1500,0,1500,0,1471.34096638018,4,1500,0,"ITA","R"
"Pavlasek A.",1500,0,1500,0,1500,0,1500,0,1500,0,"CZE","R"
"Bourgue M.",1500,0,1500,0,1500,0,1500,0,1500,0,"FRA","R"
"Kozlov S.",1481.89731474759,2,1490.6862961963,1,1489.39802338059,1,1500,0,1500,0,"USA","R"
"Medvedev D.",1500,0,1500,0,1500,0,1500,0,1500,0,"RUS","R"
"Escobedo E.",1500,0,1500,0,1500,0,1500,0,1500,0,"MEX","R"
"Willis M.",1500,0,1500,0,1500,0,1500,0,1500,0,"GBR","L"
"Hemery C.",1500,0,1500,0,1500,0,1500,0,1500,0,"FRA","R"
"Soderlund C.",1500,0,1500,0,1500,0,1500,0,1500,0,"SWE","R"
"Kicker N.",1500,0,1500,0,1500,0,1500,0,1500,0,"ARG","R"
"Wessels L.",1500,0,1500,0,1500,0,1500,0,1500,0,"GER","R"
"Mertl J.",1500,0,1500,0,1500,0,1500,0,1500,0,"CZE","R"
"Lamasine T.",1500,0,1500,0,1500,0,1500,0,1500,0,"FRA","R"
"Munoz De La Nava D.",1500,0,1500,0,1500,0,1500,0,1500,0,"ESP","L"
"Cacic N.",1500,0,1500,0,1500,0,1500,0,1500,0,"SRB","R"
"Diez S.",1491.17173235929,1,1489.54701641325,1,1500,0,1500,0,1500,0,"CAN","R"
"Shapovalov D.",1500,0,1500,0,1500,0,1500,0,1500,0,"CAN","L"
"Opelka R.",1500,0,1500,0,1500,0,1500,0,1500,0,"USA","U"
"Satral J.",1500,0,1500,0,1500,0,1500,0,1500,0,"CZE","R"
"Wu D.",1444.67452979989,9,1436.3528376632,9,1500,0,1500,0,1500,0,"GBR","U"
"Whittington A.",1500,0,1500,0,1500,0,1500,0,1500,0,"AUS","R"
"Bublik A.",1500,0,1500,0,1500,0,1500,0,1500,0,"RUS","R"
"Ymer M.",1500,0,1500,0,1500,0,1500,0,1500,0,"SWE","R"
"Kumar S.",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"SWE","U"
"Spottl M.",1480.29297790798,2,1489.7,1,1500,0,1490.00526214205,1,1500,0,"AUT","R"
"Kilderry P.",1471.23053441397,3,1480.41009286433,2,1489.71834190048,1,1500,0,1500,0,"AUS","R"
"Ishii Y.",1459.53810987607,4,1458.63815226519,4,1500,0,1500,0,1500,0,"JPN","U"
"Al-Alawi S.K.",1480.27997653743,2,1480.64378607991,2,1500,0,1500,0,1500,0,"BUL","U"
"Luxa P.",1438.34708735412,7,1454.68431357202,5,1482.23685916309,2,1500,0,1500,0,"CZE","R"
"Sanchez J.",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"ESP","U"
"Costa F.",1460.94944076259,4,1479.54581482242,2,1500,0,1479.71613671101,2,1500,0,"COL","U"
"Karbacher B.",1480.5620221403,2,1489.7,1,1500,0,1491.43383859528,1,1500,0,"GER","R"
"Kulti N.",1452.81745964982,5,1480.93433226213,2,1489.7,1,1480.29168485169,2,1500,0,"SWE","R"
"Raoux G.",1480.1513989722,2,1489.09001150402,1,1500,0,1491.58296066472,1,1500,0,"FRA","R"
"Humphries S.",1464.05365942606,4,1472.13036670888,3,1500,0,1490.63883325361,1,1500,0,"USA","R"
"Jensen L.",1489.47651531873,1,1489.47651531873,1,1500,0,1500,0,1500,0,"USA","U"
"Knowles M.",1478.41342423344,2,1478.66836891041,2,1500,0,1500,0,1500,0,"BAH","R"
"Stark J.",1478.89836124979,2,1489.46756694302,1,1489.64825969386,1,1500,0,1500,0,"USA","R"
"Szymanski J.",1490.19146465545,1,1490.52675084393,1,1500,0,1500,0,1500,0,"VEN","U"
"Gonzalez P.",1489.0719937399,1,1500,0,1500,0,1489.39473785795,1,1500,0,"ESP","U"
"Cortes J.",1490.95016758891,1,1500,0,1500,0,1491.44290542741,1,1500,0,"ESP","U"
"Harper-Griffith L.",1481.59126339857,2,1489.97089901043,1,1500,0,1489.7,1,1500,0,"USA","R"
"Marques N.",1490.72633431805,1,1500,0,1500,0,1489.7,1,1500,0,"POR","L"
"Garcia M.",1481.16208208048,2,1500,0,1490.73606486167,1,1489.7,1,1500,0,"ESP","U"
