"Players","Ratings","games","Hard_Ratings","Hard_games","Grass_Ratings","Grass_games","Clay_Ratings","Clay_games","Carpet_Ratings","Carpet_games","Nationality","Handed"
"Braga P.",1490.10842253535,1,1500,0,1500,0,1491.19230800753,1,1500,0,"BRA","R"
"Gallardo M.",1483.40325263158,2,1500,0,1500,0,1484.76776315494,2,1500,0,"ESP","U"
"Phillips T.",1492.93247972676,1,1491.96108640057,1,1500,0,1500,0,1500,0,"GBR",""
"Burniol G.",1480.85956528357,2,1500,0,1500,0,1480.32920132993,2,1500,0,"ESP","R"
"Matos-Gil I.",1488.69390277521,2,1500,0,1500,0,1487.17374189775,2,1500,0,"ESP","U"
"Haas P.",1490.14285439158,1,1500,0,1500,0,1489.95061171119,1,1500,0,"FRA","U"
"Ziadi M.",1456.68396377893,5,1500,0,1500,0,1456.23462911258,5,1500,0,"MAR","R"
"Fitz S.",1491.27773405021,1,1500,0,1490.08783748154,1,1500,0,1500,0,"GER","R"
"Hellstrom M.",1489.19270774421,1,1500,0,1500,0,1488.7859494072,1,1500,0,"SWE","R"
"van der Meer N.",1491.88696299243,1,1500,0,1500,0,1492.44199953749,1,1500,0,"NED","U"
"Cook L.",1489.14269285551,1,1488.74690117799,1,1500,0,1500,0,1500,0,"GBR","U"
"Lu Y.",1461.20828258703,4,1461.34583409894,4,1500,0,1500,0,1500,0,"CHN","U"
"Gimeno D.",1493.15892543861,1,1500,0,1500,0,1491.95869136197,1,1500,0,"ESP","R"
"Yoo D.",1489.69818289365,1,1500,0,1500,0,1490.53580672084,1,1500,0,"KOR","U"
"Benneteau A.",1489.40986880006,1,1490.02553052725,1,1500,0,1500,0,1500,0,"FRA","R"
"Ionita V.",1471.99031943201,3,1500,0,1500,0,1471.38977278333,3,1500,0,"ROU","R"
"Bohane A.",1492.67230724456,1,1493.49384006098,1,1500,0,1500,0,1500,0,"IRL","U"
"Pedroso A.",1493.95392258187,1,1493.58942854268,1,1500,0,1500,0,1500,0,"BRA","U"
"Gruber K.",1492.7802992674,1,1492.71437130367,1,1500,0,1500,0,1500,0,"AUT","R"
"Rascon T.",1492.48589300936,1,1491.54403968891,1,1500,0,1500,0,1500,0,"ESP","U"
"Kimmich M.",1482.34250347405,3,1477.44854903452,3,1500,0,1500,0,1500,0,"AUS","R"
"Abdulla M.",1493.0083042627,1,1490.09589519945,1,1500,0,1500,0,1500,0,"BRU","R"
"Jones G.D.",1484.51463780596,2,1478.20165206169,2,1500,0,1500,0,1500,0,"USA","U"
"Bourgeois L.",1487.62526723001,2,1486.39384300942,2,1500,0,1500,0,1500,0,"AUS","R"
"March O.",1488.48876531983,1,1489.08427905722,1,1500,0,1500,0,1500,0,"ESP","U"
"Nunez E.",1489.8115574121,1,1489.63593354938,1,1500,0,1500,0,1500,0,"USA","R"
"Parada F.",1486.96091553722,2,1500,0,1500,0,1488.59327943319,2,1500,0,"CHI","R"
"Harboe P.",1491.01412941001,1,1500,0,1500,0,1491.33820484106,1,1500,0,"CHI","R"
"Dailey Z.",1491.95397854389,1,1490.97979617302,1,1500,0,1500,0,1500,0,"USA","U"
"Minar J.",1488.12977699108,3,1484.81890585013,3,1500,0,1500,0,1500,0,"ARG","U"
"Tecau H.",1489.82213857509,1,1490.07685614669,1,1500,0,1500,0,1500,0,"ROU","R"
"Condor F.",1489.19805007546,1,1500,0,1500,0,1486.35372532245,1,1500,0,"ESP","U"
"Mirnegg M.",1492.32374429518,1,1500,0,1500,0,1490.58345682204,1,1500,0,"AUT","R"
"Uebel L.",1497.03625002633,1,1500,0,1489.88209217272,1,1500,0,1500,0,"GER","R"
"Klein T.",1490.60247143633,1,1500,0,1489.81365706798,1,1500,0,1500,0,"USA","U"
"Korteling S.",1491.92414235025,1,1500,0,1500,0,1491.98380957923,1,1500,0,"NED","U"
"Thron A.",1480.11139901194,2,1486.93025587233,1,1500,0,1494.38464129434,1,1500,0,"GER","R"
"Simmonds P.",1482.35197033336,3,1476.89664722516,3,1500,0,1500,0,1500,0,"USA","R"
"Clayton A.",1488.48220570636,1,1488.76323631906,1,1500,0,1500,0,1500,0,"USA","R"
"Bester P.",1473.12855839091,4,1473.14428332844,4,1500,0,1500,0,1500,0,"CAN","R"
"Steckley R.",1489.18696038055,1,1489.86392181907,1,1500,0,1500,0,1500,0,"CAN","R"
"Fruttero J.P.",1490.14967489981,1,1489.51652148014,1,1500,0,1500,0,1500,0,"USA","U"
"Chen T.",1478.9547467695,3,1478.70046909821,3,1500,0,1500,0,1500,0,"TPE",""
"Do M.Q.",1488.20451137743,1,1489.4084107278,1,1500,0,1500,0,1500,0,"BEL","R"
"Sanchez de Luna J.A.",1493.77658958677,1,1500,0,1500,0,1491.99973535814,1,1500,0,"ESP","R"
"Ittogi T.",1490.22468510799,1,1490.01680135794,1,1500,0,1500,0,1500,0,"JPN","R"
"Junaid R.",1484.44994322866,2,1494.2911532808,1,1489.64655410513,1,1500,0,1500,0,"AUS","R"
"Uppal V.",1488.02851820395,1,1488.08940429237,1,1500,0,1500,0,1500,0,"IND","R"
"Sultan-Khalfan A.",1490.24433195337,1,1490.52745617247,1,1500,0,1500,0,1500,0,"QAT","U"
"King-Turner D.",1452.96273974895,6,1445.93207875573,6,1500,0,1500,0,1500,0,"NZL","R"
"Adaktusson J.",1492.18044503055,1,1490.9298406364,1,1500,0,1500,0,1500,0,"SWE","R"
"Van der Dium A.",1486.84432917862,1,1487.77793512947,1,1500,0,1500,0,1500,0,"NED","R"
"Granollers-Pujol M.",1492.60553593333,1,1500,0,1500,0,1489.03304764049,1,1500,0,"ESP","R"
"Salva B.",1452.68292297027,5,1478.69293947719,2,1500,0,1473.31184066925,3,1500,0,"ESP","L"
"Skoch D.",1474.71224911636,3,1491.83113852367,1,1500,0,1482.74818752419,2,1500,0,"CZE","R"
"Peric T.",1491.32595322482,1,1500,0,1500,0,1491.54265099296,1,1500,0,"CRO","U"
"Luque D.",1489.7,1,1500,0,1500,0,1489.7,1,1500,0,"ESP","U"
"Azzaro L.",1474.96918589334,3,1500,0,1500,0,1473.48234474117,3,1500,0,"ITA","L"
"Popp T.",1482.54015797457,2,1500,0,1500,0,1481.9281827219,2,1500,0,"GER","R"
"Dorsch B.",1476.41146926597,3,1483.11748631612,2,1490.93553629241,1,1500,0,1500,0,"GER","R"
"Roshardt R.",1480.84840928177,2,1500,0,1500,0,1481.32835023533,2,1500,0,"SUI","R"
"Vicente M.",1489.83053010637,1,1500,0,1500,0,1490.15708724765,1,1500,0,"ESP","U"
"Kutac R.",1489.17529374391,1,1500,0,1500,0,1489.95295401584,1,1500,0,NA,NA
"Patriarca D.",1489.7,1,1500,0,1500,0,1489.7,1,1500,0,"ARG","R"
"Sandbichler A.",1489.90847773412,1,1500,0,1500,0,1489.81799421866,1,1500,0,"AUT","L"
"Belic L.",1474.54438961269,3,1500,0,1500,0,1471.69822150075,3,1500,0,"CRO","R"
"Panfil G.",1488.55425911124,1,1500,0,1500,0,1488.94150525934,1,1500,0,"POL","L"
"Dev Varman S.",1469.90893695828,3,1471.55751562792,3,1500,0,1500,0,1500,0,"IND","R"
"Yu X.Y.",1476.12917025789,2,1476.89402064464,2,1500,0,1500,0,1500,0,"CHN","L"
"Wang Y.Jr.",1489.39473785795,1,1489.39473785795,1,1500,0,1500,0,1500,0,"CHN","U"
"Dolgopolov A.",1480.83354081009,2,1500,0,1500,0,1482.0258932944,2,1500,0,"UKR","R"
"Aranguren J.M.",1481.07950335847,2,1500,0,1500,0,1479.15938102503,2,1500,0,"ARG","R"
"Smit J.",1487.86594129754,1,1487.92229618715,1,1500,0,1500,0,1500,0,"CAN","R"
"Wagh A.",1493.9874835349,1,1493.43769865275,1,1500,0,1500,0,1500,0,"IND","L"
"Chaen T.",1487.79701095774,1,1487.62662747948,1,1500,0,1500,0,1500,0,"JPN","R"
"Fish A.",1492.80503200323,1,1493.68709867616,1,1500,0,1500,0,1500,0,"USA","U"
"Jun W.",1492.75363625202,1,1492.78233231936,1,1500,0,1500,0,1500,0,"SWE","U"
"Echagaray B.",1473.48309974231,4,1493.53176810459,1,1500,0,1481.64022923283,3,1500,0,"MEX","R"
"Fornell M.",1487.47008976914,1,1500,0,1500,0,1487.54650417463,1,1500,0,"ESP","R"
"Dustov F.",1459.86396763048,6,1500,0,1481.41287734717,2,1467.04104261153,4,1500,0,"UZB","R"
"Chaki R.",1484.61275352521,2,1500,0,1500,0,1483.90137832607,2,1500,0,"MAR","U"
"Sousa P.",1465.47267682043,4,1500,0,1500,0,1463.04789470863,4,1500,0,"BRA","U"
"Eysseric J.",1475.3160474736,3,1500,0,1500,0,1469.98803490514,3,1500,0,"FRA","L"
"Nielsen F.",1415.69795958991,10,1442.58155081567,6,1469.61201136033,3,1493.31626032342,1,1500,0,"DEN","R"
"Koning M.",1496.24384818251,1,1500,0,1490.81853686096,1,1500,0,1500,0,"NED","R"
"Guzman J.",1489.96371832729,1,1500,0,1489.51276459685,1,1500,0,1500,0,"ARG","U"
"Goransson T.",1477.66255519014,2,1500,0,1500,0,1477.71537461044,2,1500,0,"SWE","U"
"Tveit E.",1493.38539861224,1,1500,0,1500,0,1493.4002049303,1,1500,0,"NOR","U"
"Ruevski P.",1489.50725836457,1,1500,0,1500,0,1489.45129830685,1,1500,0,NA,NA
"Olejniczak D.",1475.5909843892,3,1500,0,1489.88023935358,1,1483.59762089118,2,1500,0,"POL","R"
"McClune M.",1494.53116228471,1,1493.81526754534,1,1500,0,1500,0,1500,0,"USA","R"
"Gard C.",1490.55081514318,1,1500,0,1500,0,1489.71398967481,1,1500,0,"USA","U"
"Martin D.",1495.04143840011,1,1492.63642466078,1,1500,0,1500,0,1500,0,"CAN","U"
"Wachiramanowong K.",1484.80607327732,3,1479.64158805756,3,1500,0,1500,0,1500,0,"THA","R"
"Siriluethaiwattana P.",1482.55813164825,2,1480.68685625314,2,1500,0,1500,0,1500,0,"THA","L"
"Singh N.",1489.91297577459,1,1489.82150122964,1,1500,0,1500,0,1500,0,"IND","U"
"Raja P.",1489.47912824106,1,1488.90285261476,1,1500,0,1500,0,1500,0,"USA","U"
"Nam H.W.",1476.9485546284,2,1477.54415640863,2,1500,0,1500,0,1500,0,"KOR","U"
"Vardhan V.",1483.55891278594,2,1481.97831145521,2,1500,0,1500,0,1500,0,"IND","R"
"Haji A.",1489.68630665369,1,1489.86007272993,1,1500,0,1500,0,1500,0,"QAT","R"
"Statham R.",1491.31867934487,1,1486.89914579208,1,1500,0,1500,0,1500,0,"NZL","R"
"Podlipnik H.",1487.43447869478,2,1500,0,1500,0,1487.41639511742,2,1500,0,"CHI","R"
"Munoz de la Nava D.",1491.90710707418,1,1500,0,1500,0,1494.39600669927,1,1500,0,"ESP","L"
"Bowles C.",1490.21157302236,1,1490.11697686763,1,1500,0,1500,0,1500,0,"USA","L"
"Crugnola M.",1486.71505080168,3,1488.10371907896,2,1500,0,1494.87012961468,1,1500,0,"ITA","R"
"Rodriguez B.",1489.34250056327,1,1500,0,1500,0,1489.82117172547,1,1500,0,"ESP","U"
"Ramirez C.",1479.75342635078,3,1500,0,1500,0,1482.10722706864,3,1500,0,"USA","U"
"Al-Ghareeb M.",1496.29656265397,1,1495.79321097682,1,1500,0,1500,0,1500,0,"KUW","U"
"Nader M.",1489.18160462465,1,1489.42889009752,1,1500,0,1500,0,1500,0,"EGY","U"
"Sanchez De Luna J.",1488.57564300877,2,1500,0,1500,0,1486.36036342351,2,1500,0,"ESP","R"
"Marrai M.",1490.15965154056,1,1500,0,1500,0,1492.19563832139,1,1500,0,"ITA","U"
"Lipsky S.",1487.65800443536,1,1500,0,1489.85038031643,1,1500,0,1500,0,"USA","R"
"Middelkoop M.",1490.71469572876,1,1500,0,1489.19121254729,1,1500,0,1500,0,"NED","R"
"Slabinsky A.",1484.43651544498,2,1500,0,1479.12262240575,2,1500,0,1500,0,"GBR","R"
"Kim K",1496.27934437674,1,1500,0,1491.25408847197,1,1500,0,1500,0,"KOR",""
"Brizzi A.",1488.565530453,1,1500,0,1500,0,1489.02789670617,1,1500,0,"ITA","R"
"Matsukevitch D.",1489.80032882503,1,1500,0,1500,0,1490.75242922492,1,1500,0,"RUS","R"
"O'Neal J.",1487.23957740708,1,1487.78004414337,1,1500,0,1500,0,1500,0,"USA",""
"Piccari F.",1487.32793285971,1,1500,0,1500,0,1488.37483286723,1,1500,0,"ITA","R"
"Estrella V.",1496.2473812944,1,1492.84256171505,1,1500,0,1500,0,1500,0,"DOM","R"
"Ignatik U.",1491.55786041778,1,1491.22500864486,1,1500,0,1500,0,1500,0,"BLR","R"
"Djokovic M.",1462.42966692398,4,1481.82157416175,2,1500,0,1480.79602534311,2,1500,0,"SRB","R"
"Xu J.C.",1488.02533316842,1,1488.4920840797,1,1500,0,1500,0,1500,0,"CHN","U"
"Ito Y.",1489.44462665324,1,1489.54255740139,1,1500,0,1500,0,1500,0,"JPN","U"
"Hajji A.",1481.58663197378,2,1481.32943646394,2,1500,0,1500,0,1500,0,"QAT","U"
"Ebelthite C.",1489.66749601142,1,1489.79734491283,1,1500,0,1500,0,1500,0,"AUS","R"
"Anderson A.",1495.44417537084,1,1493.8907565771,1,1500,0,1500,0,1500,0,"USA",""
"Hutchins R.",1489.84191312236,1,1489.43913930412,1,1500,0,1500,0,1500,0,"GBR","R"
"Hocevar R.",1457.36405434413,5,1494.96916593461,1,1500,0,1463.82091785748,4,1500,0,"BRA","R"
"Silva D.",1488.78551269578,1,1500,0,1500,0,1489.48650915436,1,1500,0,"CHI","U"
"Poerschke L.",1487.00950780331,2,1486.3902208486,2,1500,0,1500,0,1500,0,"GER","R"
"Munoz de La Nava D.",1494.29553719343,1,1500,0,1500,0,1494.32993400555,1,1500,0,"ESP","L"
"King E.",1488.80267520323,1,1488.74993451367,1,1500,0,1500,0,1500,0,"AUS",""
"Riba-Madrid P.",1479.21150317745,2,1500,0,1487.82265830243,1,1489.92802009162,1,1500,0,"ESP","R"
"Zlatanovic A.",1489.01974345017,1,1500,0,1500,0,1488.94427323725,1,1500,0,"SRB","R"
"Kloer S.",1495.35120225606,1,1500,0,1500,0,1493.31485231656,1,1500,0,"GER","R"
"Fleming C.",1484.69138789924,2,1500,0,1481.05584665439,2,1500,0,1500,0,"AUS","U"
"Berta D.",1476.41490578251,2,1500,0,1488.91851901563,1,1488.57415151277,1,1500,0,"SWE","R"
"Ghedin R.",1475.37133491368,3,1489.96397258015,1,1481.06956293705,2,1500,0,1500,0,"ITA","R"
"Krawietz K.",1477.55935132712,3,1500,0,1500,0,1472.48749480619,3,1500,0,"GER","R"
"Britton D.",1485.76105188833,3,1482.52625076588,3,1500,0,1500,0,1500,0,"USA","R"
"Agostinelli B.",1488.19410337547,1,1488.56045309712,1,1500,0,1500,0,1500,0,"CAN","R"
"Buchanan C.",1488.56099154709,2,1488.17082741923,2,1500,0,1500,0,1500,0,"GBR","R"
"Luncanu P.A.",1484.14099118848,2,1491.68181589041,1,1500,0,1489.4964033646,1,1500,0,"ROU","L"
"Valent R.",1492.46805362401,1,1490.90234496715,1,1500,0,1500,0,1500,0,"SUI","R"
"Gong M.X.",1479.60114182128,4,1477.16976981923,4,1500,0,1500,0,1500,0,"CHN","R"
"Biryukov M.",1480.73940567456,2,1478.29243713707,2,1500,0,1500,0,1500,0,"RUS","R"
"Vovk S.",1489.61976822223,1,1489.8281275851,1,1500,0,1500,0,1500,0,"RUS","R"
"Karlovic I. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"CRO","R"
"Bohli S. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"SUI","R"
"Rochus O. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"BEL","R"
"Schuettler R. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"GER","R"
"Luczak P. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"AUS","R"
"Kohlschreiber P. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"GER","R"
"Bolelli S. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"ITA","R"
"Becker B. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"USA","U"
"Beck A. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"USA","U"
"Benneteau J. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"FRA","R"
"Koellerer D. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"AUT","R"
"Petzschner P. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"GER","R"
"Zeballos H. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"ARG","L"
"Blake J. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"RSA","U"
"Ljubicic I. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"CRO","R"
"Gonzalez F. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"CHI","U"
"Bautista R. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"ESP","R"
"Mathieu P.H. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"FRA","R"
"Greul S. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"GER","R"
"Falla A. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"SUD","R"
"Kunitsyn I. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"RUS","R"
"Granollers M. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"ESP","R"
"Vassallo-Arguello M. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"ARG","R"
"Almagro N. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"ESP","R"
"Andreev I. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"MKD","R"
"Ferrero J.C. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"ESP","R"
"Gimeno-Traver D. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"ESP","R"
"Rochus C. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"BEL","R"
"Tsonga J.W. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"FRA","R"
"Hanescu V. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"ROU","R"
"Martin A. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"ARG","U"
"Hernandez O. ",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"ESP","U"
"Yang T.H.",1476.66658598721,4,1471.56366650286,4,1500,0,1500,0,1500,0,"CHN","R"
"Maamoun K.",1490.94152768537,1,1489.63854106591,1,1500,0,1500,0,1500,0,"EGY","R"
"Lemke J.",1493.63668816275,1,1487.36875835168,1,1500,0,1500,0,1500,0,"AUS","R"
"Saavedra Corvalan C.",1489.01968822656,1,1500,0,1500,0,1489.06494693083,1,1500,0,"CHI","R"
"Im K.T.",1488.79350774507,1,1489.04391506741,1,1500,0,1500,0,1500,0,"KOR",""
"Deheart R.",1488.47563901272,2,1487.70613732387,2,1500,0,1500,0,1500,0,"USA","L"
"Niland C.",1482.28819390838,3,1499.24122920539,1,1489.82431885066,1,1489.58358422993,1,1500,0,"IRL","R"
"Emmrich M.",1493.47100666932,1,1500,0,1491.70928993861,1,1500,0,1500,0,"GER","L"
"Alcaide G.",1495.29701048231,1,1500,0,1491.10803155563,1,1500,0,1500,0,"ESP","R"
"Velotti A.",1489.49011434025,2,1500,0,1500,0,1488.13332206063,2,1500,0,"ARG","R"
"Lojda D.",1493.2627565116,1,1491.23947103747,1,1500,0,1500,0,1500,0,"CZE","L"
"Si Y.M.",1489.34906527481,1,1489.37536524158,1,1500,0,1500,0,1500,0,"UKR","U"
"Belyaev I.",1492.19241346871,1,1490.7915668164,1,1500,0,1500,0,1500,0,"RUS","R"
"Muster T.",1475.44816058024,3,1479.17087591954,2,1500,0,1493.22765502361,1,1500,0,"AUT","L"
"Sabry S.",1489.21989057345,1,1489.69442146393,1,1500,0,1500,0,1500,0,"EGY","U"
"Scholtz N.",1488.38477337321,1,1487.86941506966,1,1500,0,1500,0,1500,0,"RSA","R"
"Rios F.",1489.27414353547,1,1500,0,1500,0,1490.01937805225,1,1500,0,"CHI","U"
"Romboli F.",1487.60626528204,1,1500,0,1500,0,1489.34504232543,1,1500,0,"BRA","R"
"Clezar G.",1467.38398034781,4,1500,0,1500,0,1468.74488341827,4,1500,0,"BRA","R"
"Borvanov R.",1491.62123987194,1,1490.26090151879,1,1500,0,1500,0,1500,0,"MDA","R"
"Galdon P.",1496.50586922106,1,1500,0,1500,0,1496.72790121752,1,1500,0,"ARG","R"
"Kumantsov A.",1480.48125621587,2,1479.0491032627,2,1500,0,1500,0,1500,0,"RUS","R"
"Garza D.",1471.51247288527,3,1500,0,1500,0,1471.21121306483,3,1500,0,"MEX","U"
"Sanchez M.",1488.16143483385,1,1500,0,1500,0,1488.58266895384,1,1500,0,"ESP","U"
"Awadhy O.",1484.12818019246,2,1483.41921138959,2,1500,0,1500,0,1500,0,"UAE","R"
"Granollers Pujol G.",1490.42337613819,1,1500,0,1500,0,1490.86902164044,1,1500,0,"ESP","R"
"Granollers-Pujol G.",1483.31972516143,2,1500,0,1500,0,1484.66463420786,2,1500,0,"ESP","R"
"Cox D.",1456.0173265356,5,1500,0,1451.56375670995,5,1500,0,1500,0,"GBR","R"
"Golding O.",1471.24521041733,3,1500,0,1469.22898864386,3,1500,0,1500,0,"GBR","R"
"Kirillov E.",1492.2849836257,1,1500,0,1488.77398674305,1,1500,0,1500,0,"RUS","R"
"Walter L.",1488.37304388789,1,1500,0,1488.2687764008,1,1500,0,1500,0,"FRA","U"
"Kern R.",1474.61319345319,3,1500,0,1500,0,1475.16370324056,3,1500,0,"GER","R"
"Grigelis L.",1491.14999998988,1,1489.59410085346,1,1500,0,1500,0,1500,0,"LTU","R"
"Sitak A.",1487.38137400821,1,1487.14279172418,1,1500,0,1500,0,1500,0,"NZL","R"
"Chvojka E.",1484.79478739882,2,1493.86622762175,1,1500,0,1491.12323239001,1,1500,0,"CAN","L"
"Torebko P.",1491.27313128861,1,1500,0,1500,0,1490.70829003632,1,1500,0,"GER","R"
"Li Z.",1482.51986742409,3,1480.59205639376,3,1500,0,1500,0,1500,0,"GEO","U"
"Nedelko I.",1482.23155342732,2,1478.67471982945,2,1500,0,1500,0,1500,0,"RUS","R"
"Mitchell B.",1471.30640433403,4,1470.63783455323,4,1500,0,1500,0,1500,0,"AUS","R"
"Al Mutawa J.",1489.33478662316,1,1489.70998316887,1,1500,0,1500,0,1500,0,"QAT","U"
"Viola Mat.",1485.32141357067,2,1480.95187577162,2,1500,0,1500,0,1500,0,"ITA","R"
"Van D. Merwe I.",1488.22650252766,1,1488.38192986425,1,1500,0,1500,0,1500,0,"BEL","U"
"Mesaros K.",1492.4902729248,1,1490.32061586683,1,1500,0,1500,0,1500,0,"CRO","R"
"Marcan D.",1486.38953253728,2,1483.67014669285,2,1500,0,1500,0,1500,0,"CRO","R"
"Lajola D.",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"USA","U"
"Strode B.",1490.00526214205,1,1490.00526214205,1,1500,0,1500,0,1500,0,"USA","R"
"Molteni A.",1498.43317072849,1,1500,0,1500,0,1497.72969338268,1,1500,0,"ARG","R"
"Cabal J.S.",1480.05833054626,2,1500,0,1500,0,1479.24516920278,2,1500,0,"ESP","U"
"Idmbarek Y.",1489.87921386888,1,1500,0,1500,0,1488.18154852542,1,1500,0,"MAR","U"
"Gomez-Herrera C.",1491.02755836409,1,1500,0,1500,0,1491.28561609116,1,1500,0,"ESP","R"
"Trusendi W.",1489.06084834213,1,1500,0,1500,0,1488.08655336051,1,1500,0,"ITA","U"
"Ehrat S.",1486.99591960521,1,1500,0,1500,0,1487.93254644054,1,1500,0,"SUI","R"
"Meister N.",1493.41928550496,1,1490.29837062196,1,1500,0,1500,0,1500,0,"USA","U"
"Authom M.",1480.00258744281,2,1477.25221540604,2,1500,0,1500,0,1500,0,"BEL","R"
"Vasilevski A.",1489.58713247704,1,1489.83514610089,1,1500,0,1500,0,1500,0,"BLR","U"
"Betov S.",1487.95830852036,1,1487.66754265027,1,1500,0,1500,0,1500,0,"BLR","R"
"Fidirko N.",1489.01840628168,1,1487.86697162088,1,1500,0,1500,0,1500,0,"BLR","R"
"Deen Heshaam A.",1489.94895245559,1,1489.87387276039,1,1500,0,1500,0,1500,0,"MAS","R"
"Inglot D.",1486.89415496818,2,1480.77466323104,2,1500,0,1500,0,1500,0,"GBR","R"
"Singh S.",1494.70691006602,1,1495.09258009947,1,1500,0,1500,0,1500,0,"IND","U"
"Ali Mutawa J.M.",1489.7,1,1489.7,1,1500,0,1500,0,1500,0,"QAT","U"
"Zayed M. S.",1496.85574546427,1,1496.66849328524,1,1500,0,1500,0,1500,0,"QAT","U"
"Veger F.",1491.58825271057,1,1488.91384581011,1,1500,0,1500,0,1500,0,"CRO","R"
"Reyes-Varela M.A.",1483.62504531032,2,1492.79933320561,1,1500,0,1491.50034574123,1,1500,0,"MEX","R"
"Rachidi Y.",1489.28650248105,1,1500,0,1500,0,1489.4558468452,1,1500,0,"MAR","R"
"Granollers G.",1489.2392012612,1,1500,0,1500,0,1489.57688943904,1,1500,0,"ESP","R"
"Desein N.",1482.98923460965,2,1490.92842599531,1,1500,0,1490.36257234893,1,1500,0,"BEL","R"
"Corrie E.",1490.83950897163,1,1500,0,1489.53081497812,1,1500,0,1500,0,"GBR","U"
"Reid M.",1494.93069329355,1,1500,0,1493.10417996148,1,1500,0,1500,0,"AUS","R"
"Eriksson M.",1469.03843185103,3,1488.55287648596,1,1500,0,1480.47944343324,2,1500,0,"SWE","U"
"Bossel A.",1488.604637,1,1500,0,1490.08932024555,1,1500,0,1500,0,"SUI","L"
"Ward A.",1494.49471727216,1,1500,0,1500,0,1493.86188151144,1,1500,0,"USA","U"
"Salamanca C.",1491.48493934966,1,1500,0,1500,0,1490.64375526425,1,1500,0,"COL","L"
"Barrientos N.",1476.66066123826,2,1500,0,1500,0,1478.69066250287,2,1500,0,"COL","R"
"Londero J.I.",1481.72979895557,2,1500,0,1500,0,1479.46365956519,2,1500,0,"ARG","R"
"Struvay E.",1479.88501231703,2,1500,0,1500,0,1480.72103394888,2,1500,0,"COL","R"
"King K.",1483.75652654917,2,1490.28214846874,1,1500,0,1491.42020013912,1,1500,0,"USA","U"
"Westerhof B.",1489.8448141734,1,1500,0,1500,0,1488.9446980748,1,1500,0,"NED","R"
"Topic J.",1492.99911486062,1,1500,0,1500,0,1492.91340167383,1,1500,0,"CRO","U"
"Setkic A.",1488.4974044487,1,1500,0,1500,0,1489.58820269053,1,1500,0,"BIH","R"
"Mcdonald M.",1490.37783117616,1,1490.87796962162,1,1500,0,1500,0,1500,0,"USA","R"
"Bogaerts R.",1491.46063057339,1,1489.72720402739,1,1500,0,1500,0,1500,0,"BEL","U"
"Altamirano C.",1495.37955410139,1,1493.87844913833,1,1500,0,1500,0,1500,0,"USA","R"
"Djere L.",1495.80789307178,1,1493.68510716672,1,1500,0,1500,0,1500,0,"SRB","R"
"Trongcharoenchaikul W.",1491.81820905093,1,1491.68801586911,1,1500,0,1500,0,1500,0,"THA","R"
"Jeong S.Y.",1493.58252862251,1,1493.46642462457,1,1500,0,1500,0,1500,0,"KOR","U"
"Nedovyesov O.",1489.29687059998,1,1489.86139174544,1,1500,0,1500,0,1500,0,"KAZ","R"
"Sekulic M.",1488.93016544212,1,1489.11254589854,1,1500,0,1500,0,1500,0,"SRB","U"
"Nedunchezhiyan J.",1488.49539383048,1,1488.77234824403,1,1500,0,1500,0,1500,0,"IND","L"
"Zayed M.S.",1499.09693882965,1,1498.80594495051,1,1500,0,1500,0,1500,0,"QAT","U"
"Hossam K.",1497.52764359674,1,1497.21595253045,1,1500,0,1500,0,1500,0,"EGY","R"
