"playername","id","Ratings","games","games_won","Hard_Ratings","Hard_games","Hard_games_won","Grass_Ratings","Grass_games","Grass_games_won","Clay_Ratings","Clay_games","Clay_games_won","Carpet_Ratings","Carpet_games","Carpet_games_won","NotHard_Ratings","NotHard_games","NotHard_games_won","Bo3_Ratings","Bo3_games","Bo3_games_won","Bo5_Ratings","Bo5_games","Bo5_games_won"
"ebelthite c",302,1487.52675618446,1,0,1487.64961204873,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1487.65760898795,1,0
"echagaray b",303,1469.14233976976,4,0,1492.67744357738,1,0,1500,0,0,1478.41466452289,3,0,1500,0,0,1476.35130247423,3,0,1476.04116920038,3,0,1488.61189567257,1,0
"economidis k",304,1410.92062614635,12,1,1437.81153844695,6,0,1467.47960915673,3,0,1496.1211113271,3,1,1500,0,0,1462.96299320406,6,1,1417.89435059424,7,0,1475.96435473665,5,1
"edmund k",305,1625.62533480248,50,20,1589.35854915809,29,13,1449.8478024251,13,3,1515.2551976887,8,4,1500,0,0,1491.48460198547,21,7,1583.12537684791,37,15,1508.92799397929,13,5
"ehrat s",306,1483.73451574483,1,0,1500,0,0,1500,0,0,1484.95342850014,1,0,1500,0,0,1484.91370837494,1,0,1484.08586456332,1,0,1500,0,0
"eitzinger r",307,1496.22813476517,9,3,1492.36632202116,3,1,1500,0,0,1492.64911121344,6,2,1500,0,0,1494.99576875024,6,2,1495.57447257637,9,3,1500,0,0
"el aarej m",308,1447.0194701846,7,1,1500,0,0,1500,0,0,1447.81607196619,7,1,1500,0,0,1448.08617845643,7,1,1447.51067693491,7,1,1500,0,0
"el amrani r",309,1471.58194862357,7,2,1488.34316023413,1,0,1500,0,0,1482.79406616731,6,2,1500,0,0,1480.64438001031,6,2,1469.76314489587,7,2,1500,0,0
"el aynaoui y",310,1566.53732176635,274,156,1559.67476501142,125,66,1526.7055222149,16,9,1603.17455024664,117,74,1472.70798026585,16,7,1562.58585259166,149,90,1560.98034765269,223,125,1591.62513993341,51,31
"eleskovic e",311,1467.56771554225,10,2,1458.68621485379,4,0,1500,0,0,1497.58146603404,6,2,1500,0,0,1494.5079061488,6,2,1466.31026534558,10,2,1500,0,0
"elgin m",312,1451.94711928361,11,2,1455.77201400387,7,1,1500,0,0,1500,0,0,1470.62951744034,4,1,1484.37864039069,4,1,1449.53018548798,11,2,1500,0,0
"elias g",313,1532.03924131395,43,16,1481.05607229904,9,2,1474.98083432743,2,0,1558.19854064272,32,14,1500,0,0,1542.87256455872,34,14,1559.17362192171,38,16,1443.99536217487,5,0
"ellwood b",314,1485.07948839757,1,0,1500,0,0,1487.08393385482,1,0,1500,0,0,1500,0,0,1486.20999011832,1,0,1484.87651748224,1,0,1500,0,0
"elseneer g",315,1427.91095509741,38,14,1439.49452388186,10,2,1479.51964041581,20,9,1491.04199892933,5,2,1488.09136455003,3,1,1460.32873792114,28,12,1429.71865842365,28,10,1478.3275273712,10,4
"elsner d",316,1389.65332789139,31,8,1456.10222091402,6,1,1487.5,1,0,1428.99955382703,24,7,1500,0,0,1416.33452647804,25,7,1407.64858138816,25,7,1463.71966273694,6,1
"emmrich m",317,1492.56632185774,1,0,1500,0,0,1490.3471800501,1,0,1500,0,0,1500,0,0,1490.16477861995,1,0,1492.70452559112,1,0,1500,0,0
"enqvist t",318,1508.13813719986,249,137,1542.00946484944,159,91,1508.25928705593,22,11,1482.43072385986,47,23,1513.13948892453,21,12,1473.40047383749,90,46,1514.09891346125,197,108,1529.89786805156,52,29
"eriksson m",319,1454.40094057006,4,0,1485.9199089479,1,0,1500,0,0,1468.02988542794,3,0,1500,0,0,1465.65503347001,3,0,1453.81546266226,4,0,1500,0,0
"erlich j",320,1489.82537169223,9,4,1504.91693347176,6,3,1486.01841882072,3,1,1500,0,0,1500,0,0,1484.58487369086,3,1,1490.55858919112,9,4,1500,0,0
"eschauer w",321,1384.71672672609,52,15,1410.52444421427,12,1,1490.64809982904,3,1,1447.7729270436,36,13,1486.5706852649,1,0,1442.08045778589,40,14,1386.62469161494,42,12,1469.16965841682,10,3
"escobar g",322,1474.54913273303,2,0,1500,0,0,1500,0,0,1475.14915580249,2,0,1500,0,0,1474.11550157769,2,0,1475.20117286612,2,0,1500,0,0
"escobedo e",323,1491.42410880378,6,2,1490.01047731822,3,1,1490.78248228302,3,1,1500,0,0,1500,0,0,1493.97146534378,3,1,1489.29246470168,4,1,1497.38648268609,2,1
"escude n",324,1686.42912453006,185,108,1690.7633174754,104,68,1564.23699954426,28,18,1474.06970939657,28,10,1522.53224576155,25,12,1582.58862065062,81,40,1657.34456675497,148,86,1582.6048353521,37,22
"estrella v",325,1542.94027768932,82,36,1430.08268461475,30,8,1474.23356363306,13,4,1600.38397332837,39,24,1500,0,0,1586.36063655383,52,28,1558.32868247215,67,32,1454.23422886576,15,4
"etlis g",326,1484.78998283221,30,11,1502.53686159712,7,3,1500,0,0,1457.30855904589,23,8,1500,0,0,1461.23455048798,23,8,1472.27011409961,28,10,1504.87793217113,2,1
"eubanks c",327,1480.00717165243,2,0,1478.95592324971,2,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1480.36710341335,2,0,1500,0,0
"evans b",328,1456.5128813955,21,6,1413.12509673732,14,2,1512.30167263759,7,4,1500,0,0,1500,0,0,1518.93996679578,7,4,1465.97793517446,17,5,1476.01088349149,4,1
"evans d",329,1598.58070653663,39,17,1557.79256513979,21,10,1483.90777589984,18,7,1500,0,0,1500,0,0,1514.00722761988,18,7,1544.4529016724,26,11,1536.22341246325,13,6
"eysseric j",330,1470.48226459837,3,0,1500,0,0,1500,0,0,1464.38702216024,3,0,1500,0,0,1467.83933451452,3,0,1487.14140959539,1,0,1476.46421762268,2,0
"fabbiano t",331,1467.19940076888,20,5,1500.57090816259,11,4,1500,0,0,1434.29170707163,9,1,1500,0,0,1437.58767174509,9,1,1479.54547595157,17,5,1472.9352158837,3,0
"fahlke a",332,1487.30579267943,1,0,1500,0,0,1500,0,0,1487.06662324804,1,0,1500,0,0,1487.06662324804,1,0,1487.55437296487,1,0,1500,0,0
"falla a",333,1507.13783061762,252,95,1489.80965401171,148,53,1486.25872861107,40,16,1480.31434801402,59,23,1522.77509370657,5,3,1502.06334608009,104,42,1521.69920345042,197,74,1459.48639587363,55,21
"farah r",334,1499.8251026663,9,3,1464.62508382255,3,0,1500,0,0,1528.32084899559,6,3,1500,0,0,1527.74184171854,6,3,1507.51876871702,8,3,1483.75076596085,1,0
"fasching a",335,1487.44725729058,1,0,1500,0,0,1500,0,0,1487.66373726375,1,0,1500,0,0,1487.11401799652,1,0,1488.22132713935,1,0,1500,0,0
"faurel j c",336,1469.77747632807,9,2,1488.21058101022,6,2,1486.46447942316,1,0,1476.58916859085,2,0,1500,0,0,1474.1783804231,3,0,1470.59304481709,5,1,1482.7940577549,4,1
"federer r",337,2102.6969652613,1228,1012,2140.11561898847,742,619,1929.65627856831,165,145,1898.40660317243,262,202,1746.77596423634,59,46,1951.67295705373,486,393,2074.12526335565,846,687,1999.8365836658,382,325
"ferreira w",338,1588.75943959814,211,117,1576.32079576981,134,78,1560.30897321715,29,18,1526.86663439082,37,18,1447.18731682436,11,3,1537.28542925598,77,39,1567.81407598142,158,84,1588.43554178545,53,33
"ferreiro f",339,1489.26733519082,6,2,1500,0,0,1500,0,0,1490.51693141515,6,2,1500,0,0,1489.58234167519,6,2,1497.70599041533,5,2,1490.12183178664,1,0
"ferrer d",340,1795.9222518816,977,653,1800.33748350369,483,313,1637.21529712813,59,39,1864.52623337938,414,292,1490.27670316367,21,9,1797.54344329784,494,340,1767.46359013899,781,512,1830.73001225469,196,141
"ferrero j",341,1480.69133079799,4,1,1487.55983788982,1,0,1500,0,0,1491.35363982719,1,0,1499.87526002089,2,1,1493.45692855144,3,1,1480.96428421837,4,1,1500,0,0
"ferrero j c",342,1673.01590900789,683,440,1625.70843156268,302,174,1621.55896634538,47,30,1691.38433117205,307,221,1527.19652388665,27,15,1685.67911309955,381,266,1665.83649735609,530,337,1636.50876878827,153,103
"fidirko n",343,1487.0021456705,1,0,1485.36005530376,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1487.44657067015,1,0,1500,0,0
"filippini m",344,1476.81150684089,2,0,1500,0,0,1500,0,0,1477.73206079629,2,0,1500,0,0,1476.82430117533,2,0,1477.64557934487,2,0,1500,0,0
"fischer m",345,1374.88548035267,21,2,1447.35270439008,6,0,1480.37338697425,4,1,1412.92724935092,11,1,1500,0,0,1407.14872852207,15,2,1384.56371997926,17,1,1477.42408319339,4,1
"fish a",346,1491.74135251626,1,0,1492.70276238753,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1491.82240128979,1,0,1500,0,0
"fish m",347,1739.63501520202,496,289,1705.16278809547,358,214,1685.92567826578,72,46,1531.95032310227,52,23,1483.10967654764,14,6,1681.34052305913,138,75,1719.6100643281,406,237,1689.97822742803,90,52
"fitz s",348,1490.01594495035,1,0,1500,0,0,1488.09047218391,1,0,1500,0,0,1500,0,0,1489.64890103712,1,0,1489.70694571774,1,0,1500,0,0
"flanagan i",349,1524.2291298724,3,2,1500,0,0,1520.87251461716,3,2,1500,0,0,1500,0,0,1522.02962177271,3,2,1521.92641095359,3,2,1500,0,0
"fleischfresser t",350,1485.57146487695,1,0,1500,0,0,1500,0,0,1486.38748850159,1,0,1500,0,0,1485.74049277651,1,0,1486.24162254538,1,0,1500,0,0
"fleishman z",351,1456.47313898999,24,7,1446.00173137648,21,6,1489.60413408257,3,1,1500,0,0,1500,0,0,1490.30823607574,3,1,1456.08571216391,20,6,1476.27143259561,4,1
"fleming c",352,1482.21341549844,2,0,1500,0,0,1477.34786147723,2,0,1500,0,0,1500,0,0,1478.6185695131,2,0,1482.16620478063,2,0,1500,0,0
"flygt k",353,1499.75883182046,4,2,1513.29846883224,3,2,1500,0,0,1488.88822930684,1,0,1500,0,0,1489.17968334171,1,0,1498.63094878918,4,2,1500,0,0
"fnisk",354,1517.02517762631,1,1,1515.21592798052,1,1,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1516.96017703409,1,1,1500,0,0
"fognini f",355,1697.32939924333,454,225,1624.68007396063,171,70,1530.97188415814,27,13,1694.84784833371,255,142,1488.20005683314,1,0,1687.54851330613,283,155,1691.20522136238,387,193,1568.02629688138,67,32
"fogues f",356,1500.30218678601,3,1,1500,0,0,1500,0,0,1495.47870330477,3,1,1500,0,0,1494.4954298355,3,1,1498.0098040123,3,1,1500,0,0
"fornell m",357,1484.66224983638,1,0,1500,0,0,1500,0,0,1484.73049599516,1,0,1500,0,0,1484.3820982429,1,0,1484.79081669004,1,0,1500,0,0
"fraile g",358,1433.24125676078,9,1,1492.57711331361,1,0,1500,0,0,1439.66242247068,8,1,1500,0,0,1435.1299124434,8,1,1433.25029462545,9,1,1500,0,0
"fratangelo b",359,1506.06278967063,17,6,1487.53333507036,14,5,1491.35740009562,1,0,1510.6138115312,2,1,1500,0,0,1507.54540882748,3,1,1515.9011912717,11,5,1472.97563469096,6,1
"freelove o",360,1488.91401316778,1,0,1487.07709401067,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1488.98226185829,1,0,1500,0,0
"friedl l",361,1484.76357797855,8,3,1472.15133251053,4,1,1500,0,0,1515.32884794384,3,2,1488.5524274831,1,0,1505.88956286822,4,2,1484.98683382859,8,3,1500,0,0
"fritz t",362,1531.23864052429,39,16,1518.87074674905,29,13,1484.06453130146,7,2,1494.5910296357,3,1,1500,0,0,1486.08426920974,10,3,1535.60868843767,35,16,1466.34041190012,4,0
"froberg j",363,1507.24086871113,2,1,1505.5642924567,2,1,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1506.1566429235,2,1,1500,0,0
"fromberg r",364,1413.80286064012,49,19,1487.81720629224,26,12,1499.95374611327,4,2,1412.98159827556,19,5,1500,0,0,1412.35231370585,23,7,1430.7505191723,39,15,1472.23523307682,10,4
"fruttero j p",365,1488.1603277259,1,0,1487.32844616105,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1488.11400112758,1,0,1500,0,0
"fucsovics m",366,1475.86680385324,8,2,1495.26198997129,3,1,1487.0262101217,1,0,1484.76743923924,4,1,1500,0,0,1474.95236433619,5,1,1478.77283164234,7,2,1492.5258228603,1,0
"fukarek o",367,1397.95121975453,14,2,1418.2674794086,9,1,1488.19191033066,3,1,1476.19943129508,2,0,1500,0,0,1465.01144570582,5,1,1415.69217463798,12,2,1474.93904760831,2,0
"furlan r",368,1458.14657618975,18,6,1479.17372341459,11,4,1500,0,0,1470.45217596885,7,2,1500,0,0,1471.16053424649,7,2,1450.0468346785,16,5,1501.58984412111,2,1
"fyrstenberg m",369,1473.55968562203,3,0,1500,0,0,1500,0,0,1472.68018254618,3,0,1500,0,0,1472.14791667357,3,0,1473.56243837577,3,0,1500,0,0
"gabashvili t",370,1522.59776409354,300,109,1486.49729443221,155,55,1428.93626972548,22,6,1527.20017081851,103,41,1464.89123459825,20,7,1508.06560263942,145,54,1496.1352879919,251,91,1493.77588021034,49,18
"gaio f",371,1482.86606609182,2,0,1487.60225090533,1,0,1500,0,0,1492.17238403949,1,0,1500,0,0,1492.58395232157,1,0,1481.41653003837,2,0,1500,0,0
"galan d e",372,1504.37278849747,2,1,1500,0,0,1500,0,0,1500.99008667724,2,1,1500,0,0,1503.94689290849,2,1,1504.32123361096,2,1,1500,0,0
"galdon p",373,1496.23631612093,1,0,1500,0,0,1500,0,0,1496.57963044906,1,0,1500,0,0,1496.37201269841,1,0,1495.31343236752,1,0,1500,0,0
"galimberti g",374,1413.08062688335,21,5,1453.52976268974,6,1,1500,0,0,1469.00469076805,12,4,1461.50733076843,3,0,1437.22977227217,15,4,1418.08153985438,15,3,1475.79545831643,6,2
"gallardo m",375,1466.49210779694,4,0,1500,0,0,1500,0,0,1469.96013193846,4,0,1500,0,0,1467.23592854661,4,0,1467.57074499144,4,0,1500,0,0
"galovic v",376,1491.21941471848,1,0,1500,0,0,1500,0,0,1491.35147943506,1,0,1500,0,0,1491.42460334157,1,0,1491.64267611393,1,0,1500,0,0
"galvani s",377,1433.71653493889,51,16,1445.93484035498,16,4,1486.31108392027,7,3,1434.36553462592,26,8,1501.31770438642,2,1,1452.24497997718,35,12,1436.71047352137,37,12,1449.1999324909,14,4
"gambill j m",378,1476.64893244689,275,141,1488.92252294706,201,112,1515.68023145602,33,18,1386.25777728332,30,7,1463.32198520294,11,4,1408.75088527257,74,29,1479.04595892038,233,122,1484.98318060027,42,19
"gamonal h",379,1470.05802196063,7,2,1485.27375945655,1,0,1500,0,0,1483.05820537066,6,2,1500,0,0,1480.31320955434,6,2,1482.30674136435,6,2,1486.54131284969,1,0
"gao x",380,1487.51381830949,1,0,1489.14321245439,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1488.52906267696,1,0,1500,0,0
"garcia a",381,1380.68453831274,34,9,1434.21240452242,11,2,1479.31127852558,2,0,1447.86093086423,21,7,1500,0,0,1423.13130467272,23,7,1386.42605406788,33,9,1486.66770150597,1,0
"garcia lopez g",382,1542.79290593971,575,270,1501.92920843626,273,120,1474.28160950065,54,26,1655.35649774115,240,122,1466.34391289277,8,2,1610.09530148844,302,150,1538.85338966651,487,231,1522.93995518813,88,39
"garcia m",383,1477.75071737273,2,0,1500,0,0,1489.05126175977,1,0,1487.5,1,0,1500,0,0,1477.01045153717,2,0,1478.4388284006,2,0,1500,0,0
"garcia sintes j",384,1488.4945378498,1,0,1500,0,0,1500,0,0,1489.83677377415,1,0,1500,0,0,1489.22671784611,1,0,1488.49849145167,1,0,1500,0,0
"gard c",385,1489.56575177209,1,0,1500,0,0,1500,0,0,1487.60910635834,1,0,1500,0,0,1488.92597873264,1,0,1489.72930152658,1,0,1500,0,0
"garin c",386,1477.20696948764,5,1,1500,0,0,1500,0,0,1473.77875932349,5,1,1500,0,0,1474.32781114503,5,1,1473.80686861272,5,1,1500,0,0
"garza d",387,1462.05901627033,4,0,1493.24900054755,1,0,1500,0,0,1465.85548889621,3,0,1500,0,0,1466.05373500351,3,0,1460.18196449869,4,0,1500,0,0
"gasquet r",388,1822.84030878902,696,444,1771.64396131036,414,259,1685.03609759934,80,55,1810.43065277323,184,118,1578.2263791357,18,12,1818.70199077232,282,185,1782.80691049636,552,348,1807.48907669493,144,96
"gaudenzi a",389,1436.70397683878,107,39,1379.36423324644,37,9,1475.44842793373,2,0,1496.27958106704,60,28,1461.21193116267,8,2,1476.56960282698,70,30,1442.30251173926,91,34,1447.27038925555,16,5
"gaudi i",390,1489.16971005653,1,0,1500,0,0,1487.5,1,0,1500,0,0,1500,0,0,1487.90038275359,1,0,1500,0,0,1489.21036834272,1,0
"gaudio g",391,1500.08466250973,417,244,1520.19304174186,115,50,1471.33896068705,7,2,1539.43430458774,275,184,1469.16449387707,20,8,1517.53530527192,302,194,1505.09221441146,347,207,1575.32922039207,70,37
"gensse a",392,1492.28393188579,4,1,1494.52308186622,1,0,1500,0,0,1495.55422088232,3,1,1500,0,0,1495.04127478384,3,1,1500.14666922308,2,1,1483.69404779913,2,0
"gerasimov e",393,1487.22245958394,1,0,1487.02430632159,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1486.61922045611,1,0,1500,0,0
"ghedin r",394,1471.15998940526,3,0,1487.90713030778,1,0,1477.50536381148,2,0,1500,0,0,1500,0,0,1478.76125042378,2,0,1479.59732433019,2,0,1490.12608150461,1,0
"ghem a",395,1476.46188423434,7,2,1500,0,0,1500,0,0,1479.28789351675,7,2,1500,0,0,1475.9192695155,7,2,1477.0966827936,7,2,1500,0,0
"giannessi a",396,1483.48023637085,11,4,1508.30351483119,2,1,1500,0,0,1476.21349207332,9,3,1500,0,0,1472.88653495083,9,3,1475.24888041163,9,3,1509.27610916786,2,1
"gicquel m",397,1479.05006839492,205,92,1533.67905652782,99,43,1466.45107542406,26,11,1487.92025785244,59,26,1520.57030349729,21,12,1441.07933103171,106,49,1516.49398243657,166,77,1466.83951182133,39,15
"gigounon g",398,1497.00507207884,1,0,1500,0,0,1500,0,0,1495.62478993684,1,0,1500,0,0,1495.46578547574,1,0,1500,0,0,1494.72636344905,1,0
"gil f",399,1555.53339687456,115,49,1521.97753596251,40,16,1443.45668325102,8,1,1545.78331133458,67,32,1500,0,0,1518.94468238826,75,33,1549.66774047657,98,46,1435.10917012475,17,3
"gimelstob j",400,1435.77874159275,152,56,1423.70533185068,97,34,1512.67361343167,40,20,1423.13887493274,13,2,1479.25145953909,2,0,1457.30763216335,55,22,1429.86875732346,121,45,1448.24883322343,31,11
"gimeno d",401,1491.982077955,1,0,1500,0,0,1500,0,0,1490.67345506875,1,0,1500,0,0,1491.2639321917,1,0,1491.37781042231,1,0,1500,0,0
"gimeno traver d",402,1521.80048198929,261,95,1382.62831630217,67,17,1376.51879765446,19,2,1553.26749501133,175,76,1500,0,0,1526.23954379203,194,78,1531.06478123452,225,87,1382.21266487016,36,8
"ginepri r",403,1542.10945585047,378,184,1504.01644329318,266,136,1479.79671221862,50,24,1514.08722129006,42,15,1492.31792437267,20,9,1542.38021548996,112,48,1535.04829880209,311,153,1512.65860974341,67,31
"giner j",404,1491.47929497434,5,2,1500,0,0,1500,0,0,1495.53141732475,5,2,1500,0,0,1492.63230405354,5,2,1491.51362330228,5,2,1500,0,0
"giraldo s",405,1539.48152658044,307,135,1494.64430997459,138,53,1476.35361310745,28,12,1556.74213781169,140,70,1490.46247809127,1,0,1539.21793361596,169,82,1553.23811153226,265,123,1417.79948584479,42,12
"giron m",406,1481.71906679459,2,0,1483.16122571599,2,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1485.04276711794,1,0,1492.32233382077,1,0
"giustino l",407,1482.17902021025,2,0,1500,0,0,1500,0,0,1481.1658605171,2,0,1500,0,0,1483.57311784541,2,0,1480.95211070827,2,0,1500,0,0
"godwin n",408,1430.91247759758,28,10,1400.84671122656,13,2,1506.16266110388,15,8,1500,0,0,1500,0,0,1518.7520843814,15,8,1431.69580972138,23,8,1494.29540760306,5,2
"goellner m k",409,1452.9286660909,25,9,1504.36026899753,6,3,1475,2,0,1454.46191250537,17,6,1500,0,0,1439.31383596759,19,6,1457.08722693655,24,9,1486.90252653804,1,0
"goffin d",410,1833.66227808585,224,125,1770.30061782631,143,81,1572.87669919397,27,14,1695.98453368512,54,30,1500,0,0,1730.40576221571,81,44,1806.52046149024,181,100,1634.2000826666,43,25
"gojowczyk p",411,1534.27772524119,26,10,1538.24802293455,18,8,1496.92212560304,4,2,1457.04613272357,4,0,1500,0,0,1465.68542955501,8,2,1541.87168040738,18,8,1468.19671978696,8,2
"golding o",412,1465.48210831139,3,0,1500,0,0,1462.64792343157,3,0,1500,0,0,1500,0,0,1462.7906263977,3,0,1475.75869063191,2,0,1489.68131839005,1,0
"goldstein p",413,1516.84990614709,165,72,1526.94411605627,117,51,1493.49598340162,17,8,1484.17236550022,26,11,1490.47582907082,5,2,1477.00363645741,48,21,1532.76827077036,143,65,1444.92534149539,22,7
"golmard j",414,1528.93079300016,142,76,1568.36497579495,86,50,1454.42540194182,12,4,1520.39445933249,38,20,1477.49820322675,6,2,1462.780115845,56,26,1556.72117855373,120,67,1474.93151122818,22,9
"golovanov d",415,1459.75182426247,5,0,1491.50247319112,1,0,1485.4129468086,1,0,1500,0,0,1467.16697332023,3,0,1461.83740244836,4,0,1471.40763410008,4,0,1485.64176589579,1,0
"golubev a",416,1468.36414992053,158,51,1447.89998129004,91,28,1421.4464770039,11,1,1483.3948635164,49,17,1544.77637809978,7,5,1477.90203145757,67,23,1471.03883950704,134,47,1423.73578660607,24,4
"gombos n",417,1476.9201311011,4,0,1478.64190160705,3,0,1500,0,0,1489.21903659543,1,0,1500,0,0,1488.68937119504,1,0,1474.85969188826,4,0,1500,0,0
"gomez a",418,1504.84458691074,2,1,1500,0,0,1500,0,0,1497.95986996791,2,1,1500,0,0,1502.31489392146,2,1,1504.05680412876,2,1,1500,0,0
"gomez e",419,1502.52953950472,3,1,1489.52742451723,1,0,1500,0,0,1504.38214321681,2,1,1500,0,0,1504.83707537091,2,1,1500.61888666263,3,1,1500,0,0
"gomez herrera c",420,1489.36140764235,1,0,1500,0,0,1500,0,0,1489.48355366305,1,0,1500,0,0,1489.21116983108,1,0,1489.31020450679,1,0,1500,0,0
"gomez l",421,1483.37185853679,2,0,1476.94839961857,2,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1483.21882576803,2,0,1500,0,0
"gong m x",422,1477.39900046859,4,0,1474.35826761587,4,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1474.28858940578,4,0,1500,0,0
"gonzalez a",423,1422.31277685419,46,12,1466.39283648322,21,6,1474.82770356918,2,0,1422.68751488303,23,6,1500,0,0,1413.85339924986,25,6,1409.197342946,37,9,1483.42433367925,9,3
"gonzalez f",424,1679.82198167712,515,325,1672.81910894219,246,146,1600.16212606586,35,22,1752.60488504279,207,141,1552.66434012896,27,16,1730.6469880725,269,179,1681.33500182793,396,250,1698.91615444993,119,75
"gonzalez m",425,1418.00920499417,84,27,1427.71015269414,16,3,1460.28375028266,4,0,1447.16597795059,64,24,1500,0,0,1431.47460420389,68,24,1436.13158869116,65,22,1441.67485684994,19,5
"gonzalez p",426,1486.5699717041,1,0,1500,0,0,1500,0,0,1487.05047029068,1,0,1500,0,0,1487.05047029068,1,0,1486.58603521976,1,0,1500,0,0
"gonzalez s",427,1454.23846248463,9,1,1485.67140368285,1,0,1486.16566737048,1,0,1476.44935078759,7,1,1500,0,0,1462.1088405592,8,1,1461.59956274254,8,1,1487.37165354125,1,0
"goodall j",428,1421.53637421128,12,1,1489.23838964187,1,0,1418.55387050128,11,1,1500,0,0,1500,0,0,1418.38229040131,11,1,1470.61816032105,6,1,1431.00785616045,6,0
"gooding j",429,1493.22722445366,1,0,1492.06816915026,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1492.58246693133,1,0,1500,0,0
"goransson t",430,1472.96432073197,2,0,1500,0,0,1500,0,0,1472.83520522604,2,0,1500,0,0,1472.43936711363,2,0,1473.34442712705,2,0,1500,0,0
"granollers m",431,1636.43793321574,397,185,1585.72262561867,171,77,1479.82861541123,27,10,1572.36916727735,196,97,1492.20789692189,3,1,1581.12846477199,226,108,1577.83265940325,325,150,1608.99945117688,72,35
"granollers pujol g",432,1458.11209648396,4,0,1500,0,0,1500,0,0,1460.51539775101,4,0,1500,0,0,1460.06474842253,4,0,1458.04870960926,4,0,1500,0,0
"gregorc l",433,1534.20619084857,13,6,1526.58062376361,12,6,1488.77179881644,1,0,1500,0,0,1500,0,0,1496.20550269756,1,0,1535.83141788968,12,6,1494.25183895886,1,0
"gremelmayr d",434,1458.33484637806,87,31,1440.92482910398,45,15,1439.99116256133,10,2,1523.34844926708,28,13,1476.7613825845,4,1,1455.8800441729,42,16,1479.08890765193,74,28,1443.87790616078,13,3
"greul s",435,1528.22629765537,115,43,1473.69755220033,52,19,1474.00578842952,9,3,1494.36249618533,52,20,1498.56315127591,2,1,1513.22610858648,63,24,1544.83217164753,101,41,1427.91530179234,14,2
"grigelis l",436,1490.07623738848,1,0,1487.69003755132,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1488.78226263333,1,0,1500,0,0
"grosjean s",437,1513.46784641696,455,269,1497.75059611786,258,147,1607.41357553737,62,42,1594.27040852178,99,59,1558.37727210838,36,21,1590.83399936984,197,122,1510.11348773816,347,197,1624.28688818497,108,72
"gross o",438,1448.8107240732,12,3,1487.92866525186,1,0,1487.41403230829,1,0,1464.41146216809,10,3,1500,0,0,1453.24509778882,11,3,1448.06757026908,12,3,1500,0,0
"groth s",439,1524.02270712915,88,34,1450.1934110962,56,19,1532.04227525734,23,12,1499.52646474833,9,3,1500,0,0,1553.1451822765,32,15,1489.52174686185,70,27,1521.27391767845,18,7
"gruber k",440,1491.84323563745,1,0,1491.52594653629,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1491.59335940705,1,0,1500,0,0
"guardiola t",441,1452.85474395021,9,2,1503.74992284716,4,2,1500,0,0,1453.56483246912,4,0,1487.5,1,0,1441.11132777599,5,0,1463.2933121392,7,2,1478.3988148222,2,0
"guccione a",442,1493.39397192829,3,1,1500,0,0,1495.58485036742,2,1,1486.87957690039,1,0,1500,0,0,1492.41304824576,3,1,1486.60973685861,1,0,1505.26494161022,2,1
"guccione c",443,1494.58845992621,89,34,1529.59440655153,64,27,1437.078297812,16,5,1458.26889987937,8,2,1492.79087021489,1,0,1411.71272908518,25,7,1509.33837835757,72,30,1416.37294135666,17,4
"guez d",444,1419.98190098456,18,2,1429.19421654242,14,2,1500,0,0,1474.0914361509,3,0,1485.21424215486,1,0,1468.10423633135,4,0,1433.31509851491,14,2,1464.08432365948,4,0
"gulbis e",445,1577.12647641217,395,197,1553.83714352462,235,120,1469.66917743526,29,10,1634.1159764023,118,60,1517.48216515029,13,7,1605.23324464676,160,77,1548.91162474984,328,166,1545.68570319335,67,31
"gumy h",446,1437.4412309496,31,11,1469.36019695372,9,3,1487.96400122406,1,0,1456.00417938915,21,8,1500,0,0,1446.47367645723,22,8,1440.25551523176,25,9,1479.16558822975,6,2
"gustafsson m",447,1556.08193176772,68,36,1497.31927474973,18,8,1505.66774714701,12,6,1554.71066322527,31,18,1511.45775487763,7,4,1556.68981139569,50,28,1571.0440391655,59,33,1470.50527530781,9,3
"gutierrez ferrol s",448,1499.29780111069,4,2,1500,0,0,1500,0,0,1502.91412947392,4,2,1500,0,0,1502.01393482932,4,2,1499.81521252888,4,2,1500,0,0
"guzman j",449,1488.15073774422,1,0,1500,0,0,1487.24829816653,1,0,1500,0,0,1500,0,0,1488.05909069974,1,0,1500,0,0,1488.80925558678,1,0
