"playername","id","Ratings","games","games_won","Hard_Ratings","Hard_games","Hard_games_won","Grass_Ratings","Grass_games","Grass_games_won","Clay_Ratings","Clay_games","Clay_games_won","Carpet_Ratings","Carpet_games","Carpet_games_won","NotHard_Ratings","NotHard_games","NotHard_games_won","Bo3_Ratings","Bo3_games","Bo3_games_won","Bo5_Ratings","Bo5_games","Bo5_games_won"
"anderson a",34,1494.9674289018,1,0,1493.09319725409,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1493.85880238786,1,0,1500,0,0
"anderson k",35,1719.7044244709,408,230,1699.86190289753,283,164,1610.96828511067,47,26,1621.97743283279,78,40,1500,0,0,1678.30935046225,125,66,1704.37439356589,333,186,1685.97571915607,75,44
"anderson o",36,1490.63203438105,1,0,1489.82867466504,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1490.63095143858,1,0,1500,0,0
"andersson h",37,1486.94935230995,1,0,1500,0,0,1500,0,0,1487.5,1,0,1500,0,0,1487.5,1,0,1487.5,1,0,1500,0,0
"andreev i",38,1533.04679069241,432,218,1521.7242948793,172,80,1498.26042543407,33,16,1542.28344244125,199,107,1527.46790530094,28,15,1525.48317027773,260,138,1557.03505485588,363,182,1534.77864023415,69,36
"andreozzi g",39,1499.7141184529,4,1,1490.87594406326,2,0,1500,0,0,1507.08141555221,2,1,1500,0,0,1507.00238101194,2,1,1507.44949243318,2,1,1487.87609214589,2,0
"androic t",40,1482.9962996956,2,0,1491.70021183743,1,0,1500,0,0,1489.12325936464,1,0,1500,0,0,1489.61295927401,1,0,1480.85376110378,2,0,1500,0,0
"andujar p",41,1537.04760410428,285,116,1426.71285958661,102,29,1403.7004891376,16,2,1616.83526184331,167,85,1500,0,0,1606.34920186901,183,87,1527.71561044561,244,102,1465.15682161767,41,14
"aranguren j m",42,1477.23536905117,2,0,1500,0,0,1500,0,0,1474.78192815828,2,0,1500,0,0,1474.78553583481,2,0,1477.21735644983,2,0,1500,0,0
"arazi h",43,1555.77237770384,220,111,1557.5866466058,105,55,1541.51724482312,23,13,1441.25996999097,66,27,1546.45958641424,26,16,1512.29830802485,115,56,1520.47414119272,171,83,1570.9127591895,49,28
"arguello f",44,1397.70133925127,16,1,1500,0,0,1491.64370856486,1,0,1395.92793717885,15,1,1500,0,0,1394.06865499894,16,1,1403.83790842316,14,1,1488.04686923223,2,0
"armando h",45,1447.79305079202,43,13,1502.81278823856,5,2,1500,0,0,1423.77082608555,38,11,1500,0,0,1424.95194174183,38,11,1455.54558986183,41,13,1477.96248225963,2,0
"arnaboldi a",46,1491.47352416267,10,3,1500,0,0,1500,0,0,1472.0239607966,10,3,1500,0,0,1477.02386829662,10,3,1485.35368092158,7,2,1495.45789616182,3,1
"arnold l",47,1485.72737509472,1,0,1500,0,0,1500,0,0,1486.73501941213,1,0,1500,0,0,1485.49446860097,1,0,1486.71676127911,1,0,1500,0,0
"arquez p",48,1487.15270559017,1,0,1500,0,0,1500,0,0,1488.06838758785,1,0,1500,0,0,1488.03885206101,1,0,1487.94784932942,1,0,1500,0,0
"arthurs w",49,1552.90258874056,240,104,1527.60968742788,142,61,1515.27469055713,49,26,1445.43473469889,44,15,1488.8767685833,5,2,1494.02692729229,98,43,1546.36018705251,191,84,1459.05231474414,49,20
"artunedo martinavarro a",50,1487.45085926054,1,0,1487.29720170454,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1487.42923386278,1,0,1500,0,0
"arvidsson i",51,1490.30843471958,1,0,1500,0,0,1500,0,0,1487.62993270224,1,0,1500,0,0,1488.00053763668,1,0,1489.57657134433,1,0,1500,0,0
"ascione a",52,1499.02963830112,2,1,1501.11648253569,2,1,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1499.66833596311,2,1,1500,0,0
"ascione t",53,1385.58374973145,73,21,1419.48566636143,32,10,1458.48157176948,4,0,1429.21028059914,29,9,1471.33222948711,8,2,1405.04369742021,41,11,1420.79293773586,58,19,1397.88568523802,15,2
"auckland j",54,1519.34756990972,3,2,1519.04517403687,3,2,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1517.09061080894,3,2,1500,0,0
"authom m",55,1476.43038828325,2,0,1472.63634017184,2,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1468.18305753767,2,0
"awadhy o",56,1481.96279904438,2,0,1480.77462105492,2,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1481.62607687184,2,0,1500,0,0
"ayala d",57,1486.31703391764,1,0,1486.27850466771,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1486.5992555441,1,0,1500,0,0
"azzaro l",58,1470.65066949746,3,0,1500,0,0,1500,0,0,1468.94563163666,3,0,1500,0,0,1468.62931066696,3,0,1469.37892906859,3,0,1500,0,0
"baccanello p",59,1465.88082184078,9,2,1462.30085338938,7,1,1499.21945762656,2,1,1500,0,0,1500,0,0,1497.91149162464,2,1,1472.54985512719,6,1,1489.24960664756,3,1
"bachelot j f",60,1490.39910174388,8,3,1508.18210248048,2,1,1478.54089568452,2,0,1499.78700130664,2,1,1501.69814581689,2,1,1478.95553572416,6,2,1486.11692685507,5,2,1493.50351652261,3,1
"bachinger m",61,1499.40587624788,69,23,1478.15480044008,36,12,1467.90376381494,8,2,1461.75270319173,25,9,1500,0,0,1453.06642947666,33,11,1492.09194934984,59,21,1456.52117926834,10,2
"baghdatis m",62,1698.66138406876,525,289,1680.36881010209,349,196,1593.1704259456,79,47,1476.56838623674,75,30,1597.14796854893,22,16,1595.04801973793,176,93,1669.46694509576,419,228,1603.78366417195,106,61
"bagnis f",63,1478.88150421743,33,11,1486.92527660795,2,0,1477.61738732258,2,0,1493.58456859253,29,11,1500,0,0,1476.73235073072,31,11,1483.61997795713,25,9,1473.39095180014,8,2
"bahrouzyan o",64,1446.13619905686,7,0,1441.42704216749,7,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1441.14879512606,7,0,1500,0,0
"bai y",65,1499.12044397729,7,2,1491.40831213025,7,2,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1495.35312917476,7,2,1500,0,0
"baker b",66,1498.17079103982,59,20,1433.1820037739,39,10,1515.06051693302,10,5,1526.30662972612,10,5,1500,0,0,1538.0729241631,20,10,1483.45347095667,40,13,1482.79332749115,19,7
"baker j",67,1421.18315170678,19,3,1479.93699249129,2,0,1413.09731792174,17,3,1500,0,0,1500,0,0,1419.1402142285,17,3,1463.00404526748,12,3,1424.55772725265,7,0
"balazs a",68,1523.55568940845,7,4,1500,0,0,1500,0,0,1518.48150119151,7,4,1500,0,0,1522.55554154255,7,4,1522.34916105551,7,4,1500,0,0
"balcells j",69,1452.78185277687,78,35,1471.00775584022,35,15,1464.32167426039,3,0,1523.88057726771,39,20,1487.94952970932,1,0,1479.34520872848,43,20,1490.13266650381,67,33,1425.15277883906,11,2
"ball c",70,1492.14851558845,20,7,1514.34809002753,16,7,1474.63483004662,2,0,1479.54852853348,2,0,1500,0,0,1455.65820655928,4,0,1541.00094051993,9,5,1439.64870387704,11,2
"balleret b",71,1494.6552631761,11,3,1497.28682391321,3,1,1500,0,0,1483.16653311569,8,2,1500,0,0,1485.83275697346,8,2,1490.79756916469,11,3,1500,0,0
"baluda v",72,1493.63161173435,1,0,1493.22947710952,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1493.61261977483,1,0,1500,0,0
"barrere g",73,1484.65475307655,2,0,1486.58077669097,1,0,1500,0,0,1492.85752689063,1,0,1500,0,0,1493.40601513702,1,0,1487.718355987,1,0,1491.35448448187,1,0
"barrientos n",74,1457.41281105689,3,0,1500,0,0,1500,0,0,1462.09976688333,3,0,1500,0,0,1460.73419832244,3,0,1457.84741852574,3,0,1500,0,0
"barton m",75,1530.84303157954,6,3,1516.47613607718,2,1,1503.28413720551,2,1,1503.07695361594,2,1,1500,0,0,1508.13743583813,4,2,1523.29770809671,4,2,1505.69139753408,2,1
"basic m",76,1517.02042487305,11,5,1514.04049694637,6,3,1499.31425056277,2,1,1489.59569142039,3,1,1500,0,0,1492.94940559899,5,2,1502.52462738238,9,4,1509.3110460226,2,1
"basilashvili n",77,1516.36183101472,27,10,1485.50083137134,15,4,1520.96827955964,3,2,1499.9486675273,9,4,1500,0,0,1516.73526313084,12,6,1515.52954650044,20,8,1486.49049123175,7,2
"bastl g",78,1426.26727316389,114,40,1449.79594195029,74,30,1418.92718924981,15,3,1426.16588855707,12,2,1463.98021096773,13,5,1379.34412467442,40,10,1428.08759179396,101,37,1443.85203990981,13,3
"bautista agut r",79,1702.19018462573,41,25,1619.40909938255,23,14,1518.40194408454,5,3,1581.32684024255,13,8,1500,0,0,1596.02721676954,18,11,1660.22822277539,32,19,1548.6372317585,9,6
"bautista r",80,1852.48147408685,221,132,1803.70783733308,146,86,1602.18539990434,19,13,1666.10691598541,56,33,1500,0,0,1697.20988192504,75,46,1809.00117056962,182,107,1675.24539384456,39,25
"beck a",81,1432.07275651237,99,38,1458.45694106792,35,13,1517.47653203182,14,7,1430.08083636978,48,17,1499.33123583816,2,1,1450.09030277126,64,25,1430.03414578672,77,30,1473.20277462535,22,8
"beck k",82,1411.21691622261,170,60,1425.72298953554,102,36,1468.30283278589,31,13,1365.37160563014,22,2,1537.87484604146,15,9,1444.03368205722,68,24,1418.07659006479,133,47,1455.45583594831,37,13
"becker b",83,1517.2414854971,365,152,1504.43891358873,250,102,1548.41699449743,66,36,1400.11567442425,43,11,1512.47027527241,6,3,1517.5916895226,115,50,1506.69530454218,311,133,1476.45447611092,54,19
"bedene a",84,1557.31580930727,117,49,1553.68743199691,57,27,1488.45864517028,14,5,1490.2087878084,46,17,1500,0,0,1501.89129897729,60,22,1541.41008686093,99,45,1455.09488192583,18,4
"behr n",85,1494.82155953551,9,4,1495.70355872808,9,4,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1494.51950689455,9,4,1500,0,0
"behrend t",86,1403.73399999412,109,39,1401.64451499198,35,11,1454.38815476486,4,0,1465.06294874486,65,25,1512.90595168759,5,3,1444.41360919838,74,28,1418.32963794257,93,37,1400.86137021932,16,2
"behrmann m",87,1486.00396951114,1,0,1484.08545788201,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1486.50958144453,1,0,1500,0,0
"belal c",88,1486.73805203815,1,0,1500,0,0,1500,0,0,1488.93895204411,1,0,1500,0,0,1488.51749354491,1,0,1486.83891187528,1,0,1500,0,0
