"Players","Ratings","games","Hard_Ratings","Hard_games","Grass_Ratings","Grass_games","Clay_Ratings","Clay_games","Carpet_Ratings","Carpet_games","Nationality","Handed","CountryCode","Continent"
"Robredo T.",1629.09265925523,629,1596.44367321597,302,1503.80078409036,44,1707.49771510121,283,1500,0,"ESP","R",64,5
"Weiner G.",1440.67078755023,30,1439.54348722423,25,1491.79041435334,5,1500,0,1500,0,"USA","R",222,6
"Burgsmuller L.",1411.38146185468,171,1426.55262681221,101,1453.85835111149,23,1412.88555466253,47,1500,0,"GER","R",59,5
"Armando H.",1443.58862719853,43,1500.60295706757,5,1500,0,1426.36225329009,38,1500,0,"USA","R",222,6
"Hadad M.",1498.67200082109,4,1500,0,1500,0,1499.52093108602,4,1500,0,"COL","R",45,8
"Hirigoyen I.",1483.17511031279,4,1490.38869377903,1,1500,0,1488.46732497884,3,1500,0,"ARG","R",11,8
"Nalbandian D.",1754.1427820966,482,1759.13517978972,259,1622.92395943556,42,1699.22374286646,181,1500,0,"ARG","R",11,8
"Simoni A.",1428.29913186723,30,1455.54085655518,15,1470.790888526,5,1491.02179588228,10,1500,0,"RUS","U",180,5
"Tobon M.",1498.75573125405,2,1500,0,1500,0,1500.03943420325,2,1500,0,"COL","R",45,8
"Mahut N.",1606.48026547007,206,1555.02274075858,119,1540.44673777153,58,1451.33253906127,29,1500,0,"FRA","R",70,5
"Lopez F.",1674.2743282339,529,1634.58273334019,309,1592.07793418443,59,1611.99074349312,161,1500,0,"ESP","U",64,5
"Acasuso J.",1596.6117285611,347,1515.98182839921,106,1421.68697712604,8,1627.55566714012,233,1500,0,"ARG","R",11,8
"Tursunov D.",1567.38855478957,312,1560.95896957534,211,1579.25964408562,57,1453.08252439738,44,1500,0,"RUS","R",180,5
"Saretta F.",1506.20083892511,141,1483.68005839164,40,1500.37963076847,12,1535.65240364365,89,1500,0,"BRA","R",19,8
"Montanes A.",1558.26451891439,437,1478.4816344239,106,1478.00639245178,17,1573.26569208305,314,1500,0,"ESP","R",64,5
"Thomann N.",1473.68737229748,28,1508.53318364941,18,1490.41625544456,3,1453.10114276817,7,1500,0,"FRA","R",70,5
"Gross O.",1454.62872294801,12,1489.99400526063,1,1489.60213505369,1,1469.354745406,10,1500,0,"GER","R",59,5
"Blake J.",1624.02423282135,521,1624.63725612535,392,1549.35591183386,52,1556.60604576178,77,1500,0,"RSA","U",4,2
"Santopadre V.",1493.22126809181,3,1500,0,1500,0,1492.88558722154,3,1500,0,"ITA","L",99,5
"Traykov I.",1499.95322662241,2,1500,0,1500,0,1499.4230480009,2,1500,0,"BUL","R",37,5
"Andersen J.F.",1477.0347268938,8,1489.83456346429,1,1500,0,1481.37854502699,7,1500,0,"DEN","U",62,5
"Ondruska M.",1452.86536337529,8,1454.04211206791,5,1489.7,1,1505.75076750754,2,1500,0,"RSA","R",4,2
"Elseneer G.",1438.84538684413,35,1448.24408919279,10,1482.42660361659,20,1493.06296084923,5,1500,0,"BEL","R",22,5
"Allegro Y.",1458.23828369688,13,1477.13554626772,2,1477.37822871581,10,1493.24541917844,1,1500,0,"SUI","R",198,5
"Carlsen K.",1492.99452997946,176,1514.82483640174,126,1482.94389394567,32,1410.70755040343,18,1500,0,"DEN","L",62,5
"Settergren J.",1484.40861869731,6,1479.10313131225,2,1500,0,1503.12479851262,4,1500,0,"SWE","R",181,5
"Mutis O.",1466.32368314504,59,1439.45526761942,15,1489.57866184978,5,1512.60234744407,39,1500,0,"FRA","R",70,5
"Lopez M.",1488.66001283331,50,1496.90230337784,3,1494.04917971518,3,1488.74900321415,44,1500,0,"ESP","U",64,5
"Wassen R.",1471.11491893516,8,1499.58734148778,2,1490.3097211501,1,1477.61059466775,5,1500,0,"NED","R",96,5
"Horna L.",1510.65349130423,246,1455.55772703804,81,1443.4008053511,6,1566.54445645728,159,1500,0,"PER","R",173,8
"Serrano O.",1484.7415872295,8,1500,0,1500,0,1486.38857285426,8,1500,0,"ESP","R",64,5
"Kutsenko V.",1470.32608612229,10,1467.19021908211,8,1500,0,1501.8251949424,2,1500,0,"RUS","R",180,5
"Marach O.",1453.67002658861,42,1471.27815748796,11,1489.30719241413,1,1477.28602345729,30,1500,0,"AUT","R",17,5
"Peya A.",1389.87816917492,58,1457.54404904661,21,1429.34864571406,15,1438.53734896467,22,1500,0,"AUT","R",17,5
"Trifu G.",1463.60402820495,8,1500,0,1480.00475371392,2,1484.06753809825,6,1500,0,"ROU","R",178,5
"Vacek J.",1442.04589546978,88,1378.42575144335,44,1513.02308822477,29,1453.48464540575,15,1500,0,"CZE","R",58,5
"Ginepri R.",1538.32518913259,343,1507.74956269507,257,1489.98715521822,49,1494.42834600647,37,1500,0,"USA","R",222,6
"Cuadrado C.",1506.95517029529,8,1500,0,1500,0,1507.61777118133,8,1500,0,"ESP","R",64,5
"Labadze I.",1485.27872857282,113,1443.26840485802,49,1480.82343541835,14,1458.78068650771,50,1500,0,"GEO","L",79,4
"Behr N.",1493.69175845998,9,1495.39465571765,9,1500,0,1500,0,1500,0,"ISR","L",107,4
"Okun N.",1429.21570619952,58,1433.16201785214,47,1451.45328962108,7,1501.52971453977,4,1500,0,"ISR","R",107,4
"Joyce M.",1499.57914643988,6,1499.63922941397,6,1500,0,1500,0,1500,0,"USA","U",222,6
"Kim A.",1417.2325604562,32,1431.96979441995,25,1490.23596158882,3,1462.62994343283,4,1500,0,"KAZ","R",111,4
"Brasington J.",1455.08317377068,10,1466.21831721043,6,1488.91146859123,1,1490.09200799528,3,1500,0,"USA","R",222,6
"Ramirez Hidalgo R.",1485.43458112646,16,1500,0,1500,0,1482.20218597775,16,1500,0,"ESP","R",64,5
"Mello R.",1457.00205001177,134,1444.80477620956,77,1441.83953725277,9,1485.48526769527,48,1500,0,"BRA","L",19,8
"Ogorodov O.",1479.46173387773,12,1476.94134801348,9,1500,0,1498.85112633935,3,1500,0,"UZB","R",223,4
"Tebbutt M.",1489.19097473771,3,1489.89239443735,3,1500,0,1500,0,1500,0,"AUS","L",16,7
"Terachi T.",1470.04821583057,11,1473.61175874427,11,1500,0,1500,0,1500,0,"JPN","R",108,4
"Fukarek O.",1412.15734105972,14,1431.38114191289,9,1490.14897048784,3,1480.13793970666,2,1500,0,"CZE","R",58,5
"Kondo H.",1479.79635091357,4,1477.73475690352,4,1500,0,1500,0,1500,0,"JPN","R",108,4
"Udomchoke D.",1359.24856779979,69,1368.79255415045,49,1453.54645405192,16,1469.0659708119,4,1500,0,"THA","R",207,4
"Melzer J.",1621.27445232306,502,1600.98928779126,263,1566.46239742639,56,1652.22081973513,183,1500,0,"AUT","L",17,5
"Nieminen J.",1602.5575190932,528,1612.48591765827,339,1482.26388668604,40,1566.74518502856,149,1500,0,"FIN","L",71,5
"Soderling R.",1942.99042004901,420,1877.13661828457,257,1616.64190103774,43,1801.5400167657,120,1500,0,"SWE","R",181,5
"Galvani S.",1432.27496725641,49,1451.46193039402,16,1488.76158767511,7,1440.75781861991,26,1500,0,"ITA","R",99,5
"Karlovic I.",1611.36027198629,360,1607.10078602001,224,1631.0651097068,62,1514.77059664552,74,1500,0,"CRO","R",97,5
"Knowle J.",1401.71966029457,39,1431.65779148739,16,1467.86670684983,12,1439.28444922791,11,1500,0,"AUT","L",17,5
"Stepanek R.",1735.84286130394,490,1685.88146740278,307,1612.34768934594,53,1629.82680015808,130,1500,0,"CZE","R",58,5
"Nielsen M.",1445.54263703158,9,1443.64887983588,9,1500,0,1500,0,1500,0,"USA","U",222,6
"Bachelot J.F",1487.33769680315,6,1506.16334747987,2,1481.87937059382,2,1499.76182085058,2,1500,0,"FRA","R",70,5
"Carraz G.",1487.46719227829,71,1489.14902632433,52,1484.93148813115,15,1475.17152718738,4,1500,0,"FRA","R",70,5
"Gicquel M.",1496.97818991766,176,1521.86483904517,94,1482.05043240124,25,1504.32210810621,57,1500,0,"FRA","R",70,5
"Silva J.",1446.93828171869,11,1478.36664844547,2,1500,0,1455.94478322757,9,1500,0,"BRA","R",19,8
"Morrison J.",1455.07716644766,85,1462.07481061563,65,1471.38618119393,16,1485.2748426837,4,1500,0,"USA","",222,6
"El Aarej M.",1454.67786017357,7,1500,0,1500,0,1455.50701910207,7,1500,0,"MAR","R",145,2
"Gasquet R.",1819.56236299106,447,1740.2827283316,252,1662.73582647798,54,1770.88232380309,141,1500,0,"FRA","R",70,5
"Krajan Z.",1408.44465975295,33,1457.53156623387,8,1489.45061104801,1,1434.86081041335,24,1500,0,"CRO","R",97,5
"Perez D.",1455.78792476888,7,1500,0,1500,0,1452.58136749902,7,1500,0,"ESP","R",64,5
"Nadal-Parera R.",1498.29846814677,2,1500,0,1500,0,1500.63405852525,2,1500,0,"ESP","L",64,5
"Galimberti G.",1443.77549941497,18,1460.943084164,6,1500,0,1472.84134123669,12,1500,0,"ITA","R",99,5
"de Chaunac S.",1453.08973227151,20,1452.48793767666,16,1500,0,1484.30087503674,4,1500,0,"FRA","R",70,5
"Hadad A.",1500.2937977674,6,1502.70718952116,4,1500,0,1500.56116315066,2,1500,0,"ISR","R",107,4
"Ancic M.",1747.15824450792,273,1706.33848800148,168,1683.65179711854,50,1621.05409502207,55,1500,0,"SLO","U",201,5
"Beck K.",1412.04025793769,155,1429.1152328826,102,1471.59308975672,31,1381.0694580433,22,1500,0,"LTU","U",126,5
"Waske A.",1445.64371452681,85,1420.30785136352,29,1446.8947178387,15,1459.18235522389,41,1500,0,"GER","R",59,5
"Fraile G.",1443.54337265217,9,1493.59850411928,1,1500,0,1448.87595601323,8,1500,0,"ESP","R",64,5
"Blake T.",1475.97688399249,8,1485.98405377836,5,1499.87234481625,2,1489.7,1,1500,0,"USA","R",222,6
"Vahaly B.",1405.67865242698,64,1427.06597942165,47,1468.25993321135,10,1455.89927351659,7,1500,0,"USA","R",222,6
"Verkerk M.",1492.35039714018,105,1457.33057488532,42,1474.96113252632,9,1537.00103737157,54,1500,0,"NED","R",96,5
"Ferrer D.",2015.85158279283,669,1896.94779485653,316,1664.40434187616,45,1943.43211520552,308,1500,0,"ESP","R",64,5
"Hanescu V.",1495.74905788765,326,1457.19078892145,107,1492.91032845771,28,1530.07627245895,191,1500,0,"ROU","R",178,5
"Radic M.",1484.02126538361,6,1500,0,1500,0,1481.83509803469,6,1500,0,"CRO","R",97,5
"Schiessling T.",1486.67231749114,4,1500,0,1500,0,1488.22153118037,4,1500,0,"AUT","R",17,5
"Bogomolov Jr.A.",1486.35226101224,4,1484.18253248399,4,1500,0,1500,0,1500,0,"RUS","R",180,5
"Verdasco F.",1751.00320756492,549,1675.68053961797,272,1593.79717289494,50,1755.83365184048,227,1500,0,"ESP","L",64,5
"Dancevic F.",1487.55323481198,113,1500.73274723908,74,1486.39166510584,35,1460.79393224522,4,1500,0,"CAN","R",39,6
"Norman D.",1415.83680729983,51,1447.33740302074,16,1474.79405052174,19,1428.2916428366,16,1500,0,"BEL","L",22,5
"Giner J.",1492.76003242612,5,1500,0,1500,0,1495.36416466207,5,1500,0,"ESP","R",64,5
"Washington M.",1471.14948730458,5,1471.82451878266,5,1500,0,1500,0,1500,0,"USA","R",222,6
"Johansson J.",1650.38291820549,111,1667.54945260917,86,1512.95581292762,12,1429.10172248908,13,1500,0,"SWE","U",181,5
"Vliegen K.",1467.44038114673,183,1467.83908438119,84,1457.26919187006,27,1501.92394885953,72,1500,0,"BEL","R",22,5
"Lisnard J.R.",1426.85359675247,87,1458.65871260935,46,1473.10426382487,5,1430.93963139754,36,1500,0,"MON","R",131,5
"Van Lottum J.",1498.0372097305,3,1497.81046290642,3,1500,0,1500,0,1500,0,"NED","R",96,5
"Hantschek M.",1503.15751509612,2,1502.11669723654,2,1500,0,1500,0,1500,0,"GER","R",59,5
"Luczak P.",1432.95034144472,114,1443.38258014262,53,1512.10847168628,8,1408.76283577785,53,1500,0,"AUS","R",16,7
"Crabb J.",1452.11473899677,8,1449.97098712984,8,1500,0,1500,0,1500,0,"AUS","R",16,7
"Larkham T.",1478.75443074298,7,1499.14089230719,4,1490.81424241645,1,1481.8697047192,2,1500,0,"AUS","R",16,7
"Sirianni J.",1482.75695658155,20,1490.35880683142,15,1470.48342108156,5,1500,0,1500,0,"AUS","R",16,7
"Cadart R.",1482.9290318367,6,1504.51520338485,4,1488.35248449562,1,1489.16852096094,1,1500,0,"FRA","L",70,5
"Gambill J. M.",1497.81641198711,4,1496.56634504069,4,1500,0,1500,0,1500,0,"USA","R",222,6
"Fleishman Z.",1457.60057742735,24,1450.01094637677,21,1491.09086704599,3,1500,0,1500,0,"USA","R",222,6
"Daniel M.",1385.04476607718,83,1369.50174626376,22,1460.21290390204,7,1460.92717270234,54,1500,0,"NZL","U",162,7
"Gamonal H.",1473.79489903826,7,1487.97207033603,1,1500,0,1484.92195796662,6,1500,0,"CHI","R",41,8
"Massa E.",1468.5404874828,24,1494.00314117294,5,1489.38108277231,1,1473.0816602796,18,1500,0,"ARG","R",11,8
"Melo D.",1478.78370081863,5,1487.41931993702,1,1500,0,1489.1383222344,4,1500,0,"BRA","L",19,8
"Marin J.A",1506.26985624463,2,1500,0,1500,0,1503.25850953774,2,1500,0,"COL","U",45,8
"Miranda I.",1469.84051002999,19,1464.35746007163,9,1508.59060738879,3,1492.98757289399,7,1500,0,"PER","R",173,8
"Abel M.",1467.25263313916,9,1477.55805968461,5,1492.1949210387,1,1491.26651524291,3,1500,0,"ARG","U",11,8
"Kendrick R.",1433.6490524263,112,1465.578319174,82,1431.22096189979,18,1441.67173707389,12,1500,0,"USA","R",222,6
"Di Pasquale A.",1475.35141031533,5,1470.3463656968,5,1500,0,1500,0,1500,0,"FRA","R",70,5
"Lapentti G.",1437.21197630917,27,1469.87236801603,17,1487.790252034,3,1456.08022463616,7,1500,0,"ECU","R",66,8
"Prodon E.",1379.12119216449,20,1472.91311683316,3,1500,0,1389.34842929053,17,1500,0,"FRA","R",70,5
"Mota B.",1493.38377361467,3,1500,0,1500,0,1489.46756147232,3,1500,0,"POR","R",171,5
"Volandri F.",1485.36351679274,331,1315.66210929798,56,1435.97971284741,12,1530.81787727141,263,1500,0,"ITA","R",99,5
"Benneteau J.",1685.70610819823,360,1650.49564109995,220,1534.36454007276,50,1527.62411368573,90,1500,0,"FRA","R",70,5
"Nadal R.",2112.29881743496,662,1971.57949009154,345,1758.51958516661,62,2172.23109697879,255,1500,0,"ESP","L",64,5
"Srichaphan N.",1500.30571560377,2,1500,0,1500,0,1501.44236651077,2,1500,0,"THA","R",207,4
"Cermak F.",1472.20699777352,24,1469.21899681791,3,1501.82214649744,2,1502.08894633632,19,1500,0,"CZE","R",58,5
"Schuettler P.",1511.05914763486,3,1500,0,1500,0,1511.75476555468,3,1500,0,"GER","U",59,5
"Kohlschreiber P.",1719.80921379454,408,1650.38176137766,222,1666.4781437023,57,1645.76285784643,129,1500,0,"GER","R",59,5
"Varlet J.",1456.66262501472,8,1462.97292014984,4,1500,0,1484.2967633769,4,1500,0,"FRA","R",70,5
"de Voest R.",1506.83696010803,27,1497.87854887693,22,1494.98549282366,5,1500,0,1500,0,"RSA","R",4,2
"Bogdanovic A.",1422.8366598865,37,1476.01085203431,5,1412.16320669049,32,1500,0,1500,0,"GBR","L",76,5
"Reid T.",1504.49258351337,35,1493.53346789271,26,1486.09765772598,8,1489.34845546393,1,1500,0,"AUT","U",17,5
"Zimonjic N.",1472.01570609054,12,1471.16666880002,3,1504.3718603008,4,1477.89162237791,5,1500,0,"SRB","R",194,5
