,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6
20,0.593270869,0.594532129,0.595825735,0.597146713,0.598489964,0.59985031,0.601222548,0.602601498,0.603982059,0.605359262,0.608084708,0.610742726,0.613303403,0.615742979,0.618044256,0.620196443,0.622194567,0.624038594,0.625732429,0.627282942,0.628699085,0.629991163,0.631170255,0.632247772,0.633235137,0.634143546,0.634983811,0.635766243,0.636500581,0.637195947
25,0.588266454,0.589341969,0.590467576,0.591639298,0.592852862,0.594103747,0.595387228,0.596698419,0.598032315,0.599383839,0.602119372,0.604864756,0.607581729,0.610235635,0.612796816,0.615241578,0.617552641,0.619719039,0.621735586,0.623602043,0.62532215,0.626902659,0.628352454,0.62968181,0.630901796,0.632023826,0.633059315,0.634019439,0.634914966,0.635756135
30,0.584881348,0.585760392,0.586699885,0.587697144,0.588749048,0.589852088,0.591002414,0.592195883,0.593428103,0.594694473,0.597310485,0.600004556,0.602736709,0.605467845,0.608161322,0.610784471,0.613309844,0.615716022,0.617987904,0.620116486,0.622098249,0.623934294,0.625629384,0.627191009,0.628628548,0.629952571,0.631174285,0.63230511,0.633356368,0.63433906
35,0.582598,0.583291675,0.584050583,0.58487345,0.585758463,0.586703308,0.587705207,0.58876097,0.589867041,0.591019545,0.593447037,0.59600775,0.598663569,0.601375235,0.604103725,0.606811746,0.60946526,0.612034842,0.614496682,0.616833114,0.619032626,0.621089432,0.62300272,0.624775742,0.626414874,0.62792873,0.629327407,0.630621865,0.631823437,0.632943472
40,0.58107412,0.581602172,0.582196249,0.582856391,0.583582084,0.584372261,0.585225314,0.586139128,0.587111119,0.58813828,0.590344269,0.592726405,0.595250151,0.597878368,0.600572527,0.603294,0.606005482,0.608672482,0.61126471,0.613757177,0.616130842,0.618372775,0.620475839,0.622438039,0.624261659,0.625952327,0.627518126,0.628968801,0.6303151,0.631568255
45,0.580079681,0.580463993,0.580912565,0.581426483,0.582006356,0.582652269,0.58336376,0.584139816,0.584978892,0.585878937,0.587851464,0.590032566,0.592392221,0.594896584,0.597509198,0.600192147,0.602907289,0.60561762,0.608288735,0.610890199,0.61339668,0.615788652,0.618052615,0.620180854,0.62217083,0.624024361,0.625746699,0.627345644,0.628830739,0.630212598
50,0.579458275,0.579719593,0.580042025,0.580427367,0.58087707,0.58139216,0.581973178,0.582620139,0.583332513,0.584109226,0.585848797,0.587820441,0.589999302,0.59235553,0.594855604,0.597463493,0.600141767,0.602852785,0.605560026,0.608229513,0.610831167,0.613339924,0.615736435,0.618007298,0.620144832,0.622146489,0.624014048,0.625752709,0.627370216,0.628876056
55,0.579102606,0.579259117,0.579473066,0.579746634,0.580081812,0.580480301,0.58094343,0.58147208,0.582066632,0.582726936,0.584241511,0.586004054,0.58799533,0.590189992,0.592558002,0.595065892,0.597677873,0.600356899,0.60306584,0.605768787,0.608432453,0.611027495,0.613529582,0.615920061,0.618186148,0.620320682,0.622321526,0.624190765,0.625933812,0.62755854
60,0.578938425,0.579005393,0.579126126,0.579302932,0.579538072,0.579833661,0.580191575,0.580613357,0.581100137,0.581652574,0.582954463,0.584513793,0.586317187,0.58834418,0.590568623,0.592960054,0.595484879,0.598107427,0.600790984,0.603498958,0.606196182,0.608850287,0.611432981,0.613921051,0.616296949,0.618548921,0.6206707,0.622660887,0.624522134,0.626260264
