Formula for K is C/(0.1 + NrGames) ^ p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimum found at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
,,,45,0.5256683,0.5257874,0.5261104,0.5266428,0.5273908,0.5283601,0.529554,0.5309722,0.5326094,0.534455,0.5364925,0.5387005,0.5410533,0.5435229,0.5460811,0.5487028,0.5513693,0.5540719,0.5568159,0.5596234,0.5625368,0.5656218,0.5689701,0.5727018,0.5769645,0.581922,0.587729,0.5944889,0.6022026,0.6107308
,,,50,0.5256599,0.5255918,0.5257229,0.5260563,0.5265977,0.5273537,0.5283307,0.5295325,0.5309595,0.5326074,0.5344669,0.5365227,0.5387549,0.5411394,0.54365,0.5462609,0.5489495,0.5517009,0.5545114,0.5573927,0.5603764,0.5635171,0.5668965,0.5706268,0.5748519,0.5797402,0.5854643,0.5921592,0.5998679,0.6084891
,,,55,0.5258089,0.5255747,0.5255379,0.525699,0.5260616,0.5266319,0.5274169,0.5284233,0.5296555,0.5311143,0.5327959,0.5346916,0.536787,0.5390634,0.541498,0.5440664,0.5467454,0.5495161,0.5523683,0.5553052,0.558348,0.5615406,0.5649539,0.568691,0.5728896,0.5777193,0.5833653,0.589991,0.5976799,0.6063726
,,,60,0.526074,0.5256882,0.5255011,0.5255099,0.5257158,0.5261231,0.5267387,0.5275702,0.5286245,0.5299062,0.5314164,0.5331515,0.535103,0.5372572,0.5395961,0.5420983,0.5447415,0.5475055,0.550376,0.5533496,0.5564386,0.5596767,0.5631243,0.5668743,0.5710568,0.5758393,0.5814155,0.5879725,0.5956326,0.6043802
,,,65,0.5264278,0.5259006,0.5255756,0.5254471,0.5255134,0.5257765,0.5262418,0.526917,0.5278101,0.5289284,0.5302765,0.5318555,0.5336618,0.5356868,0.5379172,0.5403357,0.5429226,0.5456579,0.5485256,0.5515174,0.5546386,0.557914,0.5613938,0.5651607,0.5693359,0.5740825,0.5795989,0.5860915,0.5937186,0.6025092
,,,70,0.5268516,0.5261902,0.5257362,0.5254814,0.5254212,0.5255549,0.5258861,0.5264213,0.5271688,0.5281373,0.5293343,0.5307642,0.5324278,0.5343213,0.5364361,0.5387591,0.541274,0.5439628,0.5468089,0.5498017,0.552941,0.5562441,0.559752,0.5635375,0.5677123,0.5724334,0.5779007,0.5843359,0.5919295,0.600755
,,,75,0.5273319,0.5265416,0.5259652,0.5255921,0.5254154,0.5254316,0.5256418,0.5260509,0.5266668,0.5274986,0.5285555,0.5298448,0.5313708,0.5331338,0.5351297,0.5373498,0.5397814,0.5424094,0.5452183,0.5481964,0.55134,0.5546605,0.5581909,0.5619946,0.566174,0.5708788,0.5763078,0.582694,0.5902567,0.5991126
,,,80,0.5278589,0.5269438,0.5262497,0.5257644,0.5254786,0.5253864,0.5254864,0.5257813,0.5262778,0.5269849,0.5279125,0.5290701,0.5304649,0.5321007,0.5339773,0.5360903,0.538431,0.5409874,0.5437462,0.5466958,0.5498309,0.5531582,0.5567043,0.5605243,0.5647114,0.5694074,0.5748083,0.581155,0.5886915,0.5975761
,,,85,0.5284251,0.5273884,0.5265802,0.5259872,0.525598,0.5254045,0.5254028,0.5255934,0.5259811,0.5265741,0.5273828,0.5284178,0.5296884,0.5312015,0.5329606,0.534965,0.5372098,0.5396866,0.542385,0.5452945,0.5484092,0.5517331,0.5552876,0.5591204,0.5633166,0.56801,0.573392,0.5797087,0.5872254,0.5961393
