Formula for K is C * b ^ games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimum found at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,0.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,0.582072521,0.58182126,0.581575257,0.581335854,0.581104394,0.580882193,0.580670512,0.580470529,0.580283311,0.580109794,0.579950762,0.579806835,0.579678464,0.579565931,0.579469357,0.579388719,0.579323869,0.579274557,0.579240463,0.579221225,0.579216462,0.579217489,0.579219393,0.579222166,0.579225806,0.579230305,0.57923566,0.579241865,0.579248916,0.579256809,0.57926554,0.579275105,0.5792855,0.579296721,0.579308766,0.579321631,0.579335314,0.579349812
,44,0.581918577,0.581674571,0.581436246,0.581204937,0.580981974,0.580768648,0.580566186,0.580375723,0.580198277,0.580034726,0.579885791,0.57975203,0.57963383,0.579531415,0.579444854,0.579374076,0.5793189,0.579279051,0.579254199,0.579243979,0.579248021,0.579251218,0.57925528,0.5792602,0.579265975,0.5792726,0.57928007,0.579288381,0.579297529,0.579307511,0.579318321,0.579329959,0.579342419,0.579355699,0.579369797,0.57938471,0.579400436,0.579416972
,45,0.581777774,0.581540931,0.581310178,0.581086841,0.580872233,0.580667618,0.580474189,0.580293034,0.580125121,0.579971269,0.579832142,0.579708233,0.579599873,0.579507227,0.579430317,0.579369032,0.579323159,0.579292408,0.579276439,0.57927489,0.579287407,0.579292694,0.579298836,0.579305826,0.57931366,0.579322336,0.579331847,0.579342191,0.579353365,0.579365364,0.579378186,0.579391829,0.579406288,0.579421563,0.57943765,0.579454548,0.579472255,0.579490769
,46,0.581649238,0.581419467,0.581196178,0.58098069,0.580774295,0.580578227,0.580393643,0.580221585,0.580062969,0.579918558,0.579788954,0.579674595,0.579575752,0.579492541,0.579424936,0.579372794,0.579335877,0.579313878,0.579306456,0.579313257,0.579333942,,,,,,,,,,,,,,,,,
,47,0.581532165,0.581309371,0.581093439,0.580885675,0.580687349,0.580499665,0.58032374,0.580160571,0.58001102,0.579875794,0.579755439,0.579650335,0.5795607,0.579486601,0.579427974,0.579384644,0.579356351,0.579342782,0.579343593,0.579358444,0.579387013,,,,,,,,,,,,,,,,,
,48,0.581425808,0.581209896,0.581001213,0.580801048,0.580610648,0.580431185,0.580263735,0.580109249,0.579968535,0.579842246,0.579730873,0.579634739,0.579554014,0.57948872,0.579438757,0.579403924,0.579383945,0.579378501,0.579387253,0.579409874,0.579446063,,,,,,,,,,,,,,,,,
,49,0.581329477,0.581120351,0.580918807,0.580726117,0.580543501,0.580372099,0.580212942,0.580066935,0.579934836,0.579817242,0.57971459,0.579627152,0.57955505,0.579498267,0.57945667,0.579430036,0.579418078,0.579420473,0.579436892,0.579467023,0.579510587,,,,,,,,,,,,,,,,,
,50,0.58124253,0.581040097,0.580845584,0.580660245,0.580485271,0.580321768,0.580170725,0.580033,0.579909296,0.579800162,0.579705979,0.579626972,0.579563218,0.579514665,0.579481151,0.579462434,0.57945822,0.579468187,0.579492017,0.579529415,0.579580127,,,,,,,,,,,,,,,,,
,51,0.581164376,0.580968539,0.580780949,0.580602837,0.580435367,0.580279605,0.5801365,0.58000686,0.57989134,0.579790435,0.579704478,0.579633646,0.579577977,0.579537385,0.579511684,0.579500619,0.579503888,0.579521177,0.579552178,0.579596617,0.579654266,,,,,,,,,,,,,,,,,
,52,0.581094462,0.580905128,0.580724353,0.580553347,0.580393241,0.580245065,0.580109724,0.579987979,0.579880435,0.579787537,0.579709569,0.579646668,0.579598831,0.579565943,0.5795478,0.579544133,0.579554641,0.579579015,0.579616964,0.579668234,0.579732624,,,,,,,,,,,,,,,,,
